 -2.1917167e+001 -2.1385000e+001             NaN             NaN             NaN             NaN
 -2.1882000e+001 -2.0849000e+001             NaN             NaN             NaN             NaN
 -2.1879833e+001 -2.0846833e+001  5.3529200e+003  7.6393853e-001  4.6019618e+001  0.0000000e+000
 -2.1857833e+001 -2.0488500e+001  4.7000000e+003             NaN             NaN  6.5448650e-002
 -2.1831667e+001 -2.0141667e+001  4.7964500e+003  8.9860497e-001  4.6007272e+001  7.7999606e-002
 -2.1788500e+001 -1.9778167e+001  4.6340000e+003  9.4541269e-001  4.6002249e+001  1.8084573e-001
 -2.1784167e+001 -1.9421500e+001  5.1817900e+003  8.9890491e-001  4.6006304e+001             NaN
 -2.1749833e+001 -1.8918667e+001  5.1926800e+003  9.3866324e-001  4.6002755e+001  4.1221380e-001
 -2.1731833e+001 -1.8562500e+001  5.2781500e+003  9.4107412e-001  4.6002257e+001  4.2783884e-001
 -2.1668217e+001 -1.8182067e+001  5.3193000e+003  9.4901580e-001  4.6001454e+001  1.2861374e+000
 -2.1604500e+001 -1.7809000e+001  5.1161100e+003  9.7416417e-001  4.5999209e+001  8.9869151e-001
 -2.1618167e+001 -1.7419333e+001  4.7909000e+003  1.0616415e+000  4.5990803e+001  2.7260304e+000
 -2.1509833e+001 -1.7082333e+001  5.1859600e+003  1.0414830e+000  4.5992652e+001             NaN
 -2.1463667e+001 -1.6717000e+001  5.0269800e+003  1.0860696e+000  4.5988306e+001  3.1140733e+000
 -2.1383833e+001 -1.6383000e+001  4.8248800e+003  1.1585479e+000  4.5981122e+001  4.4792836e+000
 -2.1339833e+001 -1.6006167e+001  5.0353600e+003  1.1775738e+000  4.5979021e+001  5.6031318e+000
 -2.1267833e+001 -1.5640000e+001  4.8121000e+003  1.2379672e+000  4.5973187e+001  5.9889015e+000
 -2.1250333e+001 -1.5289833e+001  4.7250300e+003  1.2539385e+000  4.5971658e+001  7.1070255e+000
 -2.1146667e+001 -1.4905667e+001  4.9602110e+003  1.3163657e+000  4.5964504e+001  6.2745568e+000
 -2.1057167e+001 -1.4501833e+001  4.7214800e+003  1.5611964e+000  4.5939560e+001  3.9693917e+000
 -2.1010333e+001 -1.4154500e+001  4.9714000e+003  1.5930274e+000  4.5936034e+001  3.4074855e+000
 -2.0915167e+001 -1.3721167e+001  4.4563300e+003  1.6508932e+000  4.5929628e+001  2.1299874e+000
 -2.0784000e+001 -1.3294000e+001  4.6367300e+003  1.8102514e+000  4.5912241e+001  2.2750628e-001
 -2.0701500e+001 -1.2978833e+001  4.4546600e+003  1.8450135e+000  4.5908301e+001  1.6475483e-001
 -2.0432333e+001 -1.2594167e+001  3.8365700e+003  2.4317752e+000  4.5836829e+001  0.0000000e+000
 -2.1484167e+001 -1.4154000e+001  4.3169200e+003  1.7665019e+000  4.5917691e+001  9.9787742e-002
 -2.1586917e+001 -1.4767000e+001  4.2683900e+003  1.6913559e+000  4.5925759e+001  3.4211254e-001
 -2.1777667e+001 -1.5360833e+001  4.5332200e+003  1.5307430e+000  4.5942728e+001  1.1916860e+000
 -2.1808167e+001 -1.5915667e+001  4.1478100e+003  1.6511501e+000  4.5930776e+001  9.9712570e-001
 -2.1882500e+001 -1.6360667e+001  4.4569800e+003  1.4684963e+000  4.5949903e+001  2.9862115e+000
 -2.1942000e+001 -1.6794167e+001  4.2120600e+003  1.4707946e+000  4.5949560e+001  4.1512183e+000
 -2.1996500e+001 -1.7258167e+001  4.5392400e+003  1.2804403e+000  4.5969021e+001  7.1589907e+000
 -2.2068167e+001 -1.7713833e+001  4.4367800e+003  1.2889355e+000  4.5968368e+001  8.2818472e+000
 -2.2126667e+001 -1.8167167e+001  4.6753000e+003  1.1112246e+000  4.5985493e+001  4.1598511e+000
 -2.2185000e+001 -1.8598167e+001  4.8428600e+003  1.0403426e+000  4.5992247e+001  1.6677601e+000
 -2.2141667e+001 -1.9050333e+001  4.8224900e+003  9.8584882e-001  4.5997755e+001  9.5967887e-001
 -2.2248333e+001 -1.9491667e+001  5.1345900e+003  8.2238407e-001  4.6013286e+001  0.0000000e+000
