162
SCCB	,	-92.625515	,	16.708580	,	2137	,	0.00023389	,	1
SCRU	,	-95.209239	,	16.187519	,	87	,	0.00023389	,	1
SCT1	,	-99.39469	,	19.39469	,	2240	,	0.00023389	,	1
SCT2	,	-99.148678	,	19.394694	,	2240	,	0.00023389	,	1
SIS1	,	-99.804615	,	16.782019	,	7	,	0.00023389	,	1
SJAL	,	-103.670344	,	18.585371	,	25	,	0.00023389	,	1
SJLL	,	-98.498463	,	16.657822	,	46	,	0.00023389	,	1
SLPA	,	-99.833027	,	19.928698	,	2591	,	0.00023389	,	1
SLU2	,	-100.935496	,	17.280802	,	29	,	0.00023389	,	1
SMLC	,	-96.729233	,	16.654971	,	1519	,	0.00023389	,	1
SMR2	,	-99.4377	,	16.77351	,	83	,	0.00023389	,	1
SNJE	,	-101.323693	,	18.535047	,	182	,	0.00023389	,	1
SODO	,	-96.414773	,	19.044324	,	101	,	0.00023389	,	1
SRPU	,	-98.259988	,	18.965484	,	2114	,	0.00023389	,	1
SUCH	,	-100.638345	,	17.226169	,	35	,	0.00023389	,	1
SXPU	,	-98.215087	,	19.039943	,	2181	,	0.00023389	,	1
TACY	,	-99.195246	,	19.404505	,	2240	,	0.00023389	,	1
TAJN	,	-92.270957	,	14.922677	,	185	,	0.00023389	,	1
TAMA	,	-96.575290	,	16.261160	,	1756	,	0.00023389	,	1
TEAC	,	-99.454086	,	18.617630	,	978	,	0.00023389	,	1
TEJU	,	-100.159615	,	18.904051	,	1340	,	0.00023389	,	1
TEPI	,	-104.909994	,	21.523494	,	1001	,	0.00023389	,	1
TGBT	,	-93.089492	,	16.776805	,	585	,	0.00023389	,	1
THEZ	,	-97.383184	,	18.477554	,	1631	,	0.00023389	,	1
TNLP	,	-99.560805	,	18.095563	,	734	,	0.00023389	,	1
TOMA	,	-105.240699	,	19.934402	,	54	,	0.00023389	,	1
TOTO	,	-98.256828	,	19.330241	,	2290	,	0.00023389	,	1
TTC1	,	-99.146900	,	19.393400	,	2240	,	0.00023389	,	1
TXCR	,	-98.806198	,	19.501514	,	2570	,	0.00023389	,	1
TXS1	,	-98.9744,		19.4939		,	2240	,	0.00023389	,	1
TXS2	,	-98.9776	,	19.49200	,	2240	,	0.00023389	,	1
TXS4	,	-98.9748	,	19.49020	,	2240	,	0.00023389	,	1
CAN1	,	-98.9748	,	19.49020	,	2240	,	0.00023389	,	1
CAN2	,	-98.9748	,	19.49020	,	2240	,	0.00023389	,	1
CAN3	,	-98.9748	,	19.49020	,	2240	,	0.00023389	,	1
UNIO	,	-101.810623	,	17.987620	,	56	,	0.00023389	,	1
URUA	,	-102.074059	,	19.421758	,	1664	,	0.00023389	,	1
VHSA	,	-92.938748	,	17.982551	,	23	,	0.00023389	,	1
VIGA	,	-99.233268	,	16.758703	,	35	,	0.00023389	,	1
VILE	,	-102.188937	,	18.045264	,	81	,	0.00023389	,	1
VNTA	,	-99.818850	,	16.914260	,	50	,	0.00023389	,	1
XALA	,	-96.901973	,	19.529875	,	1374	,	0.00023389	,	1
ANIG	,	-104.520692	,	21.053835	,	1015	,	0.00023389	,	1
ARIG	,	-100.347460	,	18.280543	,	394	,	0.00023389	,	1
BAHB	,	-113.562422	,	28.943831	,	26	,	0.00023389	,	1
CAIG	,	-100.267275	,	17.048500	,	40	,	0.00023389	,	1
CCIG	,	-92.136919	,	16.281855	,	1625	,	0.00023389	,	1
CGIG	,	-107.977381	,	30.365256	,	1524	,	0.00023389	,	1
CJIG	,	-105.034700	,	19.499525	,	88	,	0.00023389	,	1
CUIG	,	-99.178100	,	19.329677	,	2284	,	0.00023389	,	1
PZIG	,	-99.178100	,	19.329677	,	2284	,	0.00023389	,	1
DHIG	,	-99.035492	,	20.300361	,	1994	,	0.00023389	,	1
FTIG	,	-98.132600	,	17.907937	,	1103	,	0.00023389	,	1
