%lon       lat      area     depth_w  grid   subregion  
-68.925   40.625   23.42    63.8     145    4          
-68.925   40.675   23.40    63.6     146    4          
-68.925   40.725   23.38    66.8     147    4          
-68.925   40.775   23.36    68.5     148    4          
-68.925   40.825   23.35    66.2     149    4          
-68.925   40.875   23.33    69.2     150    4          
-68.925   40.925   23.31    74.6     151    4          
-68.925   40.975   23.29    73.9     152    4          
-68.925   41.025   23.27    70.0     153    4          
-68.925   41.075   23.26    77.6     154    4          
-68.925   41.125   23.24    90.0     155    4          
-68.925   41.175   23.22    99.8     156    4          
-68.925   41.225   23.20    104.8    157    4          
-68.925   41.275   23.19    119.9    158    1          
-68.925   41.325   23.17    140.0    159    1          
-68.925   41.375   23.15    146.0    160    1          
-68.925   41.425   23.13    144.0    161    1          
-68.925   41.475   23.12    148.9    162    1          
-68.925   41.525   23.10    153.0    163    1          
-68.925   41.575   23.08    110.0    164    1          
-68.925   41.625   23.06    109.0    165    1          
-68.875   40.225   23.56    117.9    166    4          
-68.875   40.275   23.54    102.3    167    4          
-68.875   40.325   23.52    91.5     168    4          
-68.875   40.375   23.50    82.9     169    4          
-68.875   40.425   23.49    77.1     170    4          
-68.875   40.475   23.47    71.8     171    4          
-68.875   40.525   23.45    68.9     172    4          
-68.875   40.575   23.43    67.5     173    4          
-68.875   40.625   23.42    64.6     174    4          
-68.875   40.675   23.40    65.1     175    4          
-68.875   40.725   23.38    61.0     176    4          
-68.875   40.775   23.36    62.3     177    4          
-68.875   40.825   23.35    65.2     178    4          
-68.875   40.875   23.33    69.0     179    4          
-68.875   40.925   23.31    69.0     180    4          
-68.875   40.975   23.29    63.0     181    4          
-68.875   41.025   23.27    69.6     182    4          
-68.875   41.075   23.26    68.0     183    4          
-68.875   41.125   23.24    81.4     184    4          
-68.875   41.175   23.22    91.0     185    4          
-68.875   41.225   23.20    97.6     186    2          
-68.875   41.275   23.19    105.9    187    1          
-68.875   41.325   23.17    131.9    188    1          
-68.875   41.375   23.15    136.9    189    1          
-68.875   41.425   23.13    144.0    190    1          
-68.875   41.475   23.12    134.9    191    1          
-68.875   41.525   23.10    153.0    192    1          
-68.875   41.575   23.08    153.0    193    1          
-68.875   41.625   23.06    127.0    194    1          
-68.825   40.225   23.56    118.0    195    4          
-68.825   40.275   23.54    98.0     196    4          
-68.825   40.325   23.52    90.8     197    4          
-68.825   40.375   23.50    84.7     198    4          
-68.825   40.425   23.49    77.1     199    4          
-68.825   40.475   23.47    71.9     200    4          
-68.825   40.525   23.45    66.9     201    4          
-68.825   40.575   23.43    68.8     202    4          
-68.825   40.625   23.42    67.3     203    4          
-68.825   40.675   23.40    62.8     204    4          
-68.825   40.725   23.38    65.1     205    4          
-68.825   40.775   23.36    66.0     206    4          
-68.825   40.825   23.35    67.7     207    4          
-68.825   40.875   23.33    71.7     208    4          
-68.825   40.925   23.31    72.4     209    4          
-68.825   40.975   23.29    73.6     210    4          
-68.825   41.025   23.27    64.8     211    4          
-68.825   41.075   23.26    64.8     212    4          
-68.825   41.125   23.24    73.5     213    4          
-68.825   41.175   23.22    85.1     214    2          
-68.825   41.225   23.20    90.4     215    2          
-68.825   41.275   23.19    97.0     216    2          
-68.825   41.325   23.17    117.9    217    1          
-68.825   41.375   23.15    130.0    218    1          
-68.825   41.425   23.13    139.9    219    1          
-68.825   41.475   23.12    148.9    220    1          
-68.825   41.525   23.10    145.0    221    1          
-68.825   41.575   23.08    153.9    222    1          
-68.825   41.625   23.06    149.9    223    1          
-68.825   41.675   23.04    142.0    224    1          
-68.775   40.225   23.56    121.9    225    4          
-68.775   40.275   23.54    100.6    226    4          
-68.775   40.325   23.52    90.8     227    4          
-68.775   40.375   23.50    84.8     228    4          
-68.775   40.425   23.49    78.6     229    4          
-68.775   40.475   23.47    73.7     230    4          
-68.775   40.525   23.45    68.7     231    4          
-68.775   40.575   23.43    64.4     232    4          
-68.775   40.625   23.42    62.3     233    4          
-68.775   40.675   23.40    62.4     234    4          
-68.775   40.725   23.38    62.3     235    4          
-68.775   40.775   23.36    66.1     236    4          
-68.775   40.825   23.35    61.1     237    4          
-68.775   40.875   23.33    61.9     238    4          
-68.775   40.925   23.31    67.3     239    4          
-68.775   40.975   23.29    56.4     240    4          
-68.775   41.025   23.27    60.6     241    4          
-68.775   41.075   23.26    65.0     242    4          
-68.775   41.125   23.24    73.4     243    4          
-68.775   41.175   23.22    76.6     244    2          
-68.775   41.225   23.20    72.4     245    2          
-68.775   41.275   23.19    83.9     246    2          
-68.775   41.325   23.17    98.9     247    2          
-68.775   41.375   23.15    121.1    248    1          
-68.775   41.425   23.13    134.9    249    1          
-68.775   41.475   23.12    142.8    250    1          
-68.775   41.525   23.10    152.9    251    1          
-68.775   41.575   23.08    152.9    252    1          
-68.775   41.625   23.06    152.0    253    1          
-68.775   41.675   23.04    151.9    254    1          
-68.775   41.725   23.03    167.9    255    1          
-68.725   40.225   23.56    125.7    256    4          
-68.725   40.275   23.54    108.4    257    4          
-68.725   40.325   23.52    98.0     258    4          
-68.725   40.375   23.50    87.5     259    4          
-68.725   40.425   23.49    84.0     260    4          
-68.725   40.475   23.47    76.1     261    4          
-68.725   40.525   23.45    68.9     262    4          
-68.725   40.575   23.43    66.1     263    4          
-68.725   40.625   23.42    60.8     264    4          
-68.725   40.675   23.40    63.0     265    4          
-68.725   40.725   23.38    67.4     266    4          
-68.725   40.775   23.36    64.3     267    4          
-68.725   40.825   23.35    63.6     268    4          
-68.725   40.875   23.33    62.8     269    4          
-68.725   40.925   23.31    62.4     270    4          
-68.725   40.975   23.29    60.0     271    4          
-68.725   41.025   23.27    63.9     272    4          
-68.725   41.075   23.26    68.4     273    4          
-68.725   41.125   23.24    62.7     274    2          
-68.725   41.175   23.22    65.3     275    2          
-68.725   41.225   23.20    63.1     276    2          
-68.725   41.275   23.19    75.8     277    2          
-68.725   41.325   23.17    89.9     278    2          
-68.725   41.375   23.15    98.9     279    2          
-68.725   41.425   23.13    112.9    280    1          
-68.725   41.475   23.12    133.9    281    1          
-68.725   41.525   23.10    141.9    282    1          
-68.725   41.575   23.08    145.1    283    1          
-68.725   41.625   23.06    148.9    284    1          
-68.725   41.675   23.04    159.0    285    1          
-68.725   41.725   23.03    178.9    286    1          
-68.675   40.225   23.56    126.6    287    4          
-68.675   40.275   23.54    108.3    288    4          
-68.675   40.325   23.52    96.2     289    4          
-68.675   40.375   23.50    90.0     290    4          
-68.675   40.425   23.49    84.4     291    4          
-68.675   40.475   23.47    78.4     292    4          
-68.675   40.525   23.45    69.2     293    4          
-68.675   40.575   23.43    62.7     294    4          
-68.675   40.625   23.42    58.6     295    4          
-68.675   40.675   23.40    60.9     296    4          
-68.675   40.725   23.38    57.8     297    4          
-68.675   40.775   23.36    61.7     298    4          
-68.675   40.825   23.35    60.3     299    4          
-68.675   40.875   23.33    62.1     300    4          
-68.675   40.925   23.31    54.6     301    4          
-68.675   40.975   23.29    59.7     302    4          
-68.675   41.025   23.27    61.4     303    4          
-68.675   41.075   23.26    63.5     304    2          
-68.675   41.125   23.24    63.6     305    2          
-68.675   41.175   23.22    60.9     306    2          
-68.675   41.225   23.20    60.8     307    2          
-68.675   41.275   23.19    68.9     308    2          
