Station Sequence Number	Station Latitude	Station Longitude	Vs30 (m/s)	Z1.0 (m)	Z2.5 (m)	Station Name	BasinID	Basin - Non Basin Label
3094	34.0869	-117.311	329.42	300	1400	"SBVC, Observatory"	3	SBCB
3096	33.941	-116.409	587	160	1740	West Wide Canyon	0	JTR
3102	33.927	-117.803	378.17	180	2180	Olinda - Carbon Canyon Rd	0	CHELAR
3103	33.904	-117.561	331.92	160	320	Norco - 1st & Hamner	3	IER
3105	33.962	-118.065	261.07	640	3920	Santa Fe Springs - Dice & Slauson	3	LAB
3107	33.898	-118.209	267.35	800	4700	Compton - Long Beach & Palmer	3	LAB
3113	33.818	-118.108	243.55	720	4000	Long Beach - Los Coyotes & Palo Verde	3	LAB
3116	34.065	-117.893	345.88	220	2060	West Covina - Cortez & Citrus	2	SGB
3118	34.112	-117.681	351.45	160	1100	Upland - 13th & Benson	3	SBCB
3119	34.125	-117.454	332.35	180	320	Fontana - Citrus & Baseline	3	SBCB
3123	34.1	-117.434	329.24	200	440	Fontana - Arrow & Sierra	3	SBCB
3124	34.121	-117.738	355.02	160	980	Claremont - Hwy 30 & Towne	2	SBCB
3128	34.041	-118.248	299.65	320	2160	Los Angeles - 7th & San Julian	3	LAB
100069	34.271	-118.735	292.2	320	1080	Simi Valley - Church St & Los Angeles Av	1	SV
100070	33.4805	-119.03	854	0	1140	Santa Barbara Island	0	I
100087	34.151	-119.198	258.1	620	3520	Port Hueneme - 2nd & Clara	3	VB
100092	34.2388	-117.659	500	0	1100	Mt. Baldy Ranger Station	0	SGMR
100093	33.8078	-117.981	265.59	700	4640	Barre Substation	3	LAB
100095	34.1368	-118.122	399	160	1480	Caltech Athenaeum Cellar	3	SGB
100096	34.3334	-118.026	927	0	700	Chilao Flat Rngr Sta	0	SGMR
100097	33.4019	-118.415	505	0	0	Catalina Island Airport	0	I
100098	33.3549	-118.444	756	0	0	Catalina Thompson Dam	0	I
100099	34.2535	-118.334	434.29	160	320	Green Verdugo Microwave Site	0	GR
100100	33.936	-116.578	396.06	580	1580	Devers	3	IVB
100101	34.1062	-118.455	668.72	320	320	Donna Jones Jenkins	0	SMMR
100102	33.8482	-118.096	258.1	820	4860	Del Amo	3	LAB
100107	33.7126	-118.294	393.26	0	1540	Fort Macarthur Park	0	PVH
100108	33.8717	-117.923	351.22	640	4500	Fullerton	3	LAB
100110	34.1368	-118.128	366.77	160	1440	Geol. Surv. Anal.	3	SGB
100112	34.3662	-116.613	388	0	740	Johnson Valley	1	MBR
100113	34.1504	-118.102	383.09	180	1460	Kinemetrics	3	SGB
100116	34.3053	-118.488	370.36	220	4180	Los Angeles Filtration Plant	0	SCMR
100118	34.3656	-117.367	365	0	1360	Lugo	2	MBR
100120	34.2808	-118.905	355.87	320	3320	Moorpark	1	SV
100121	34.2236	-118.058	760	0	0	Mount Wilson Obsv	0	SGMR
100127	33.63	-116.848	704.1	0	0	"Red Mountain, Riverside Co., Ca, Usa"	0	IER
100129	33.9935	-117.376	355.87	160	320	Riverside	1	IER
100132	34.303	-119.187	489.62	660	6620	Santa Clara	0	SCMR
100137	33.876	-118.24	352.7	540	3180	Compton - Hwy 91 & Wilmington	3	LAB
100144	34.03	-118.434	290.2	700	3660	Los Angeles - I10/405 Interchange Grnds	3	LAB
100149	34.1092	-117.784	368.4	160	320	La Verne;WeymouthFFPrsvr roof	1	SBCB
100150	33.896	-118.377	332.3	760	3300	Hawthorne; FAA Bldg	3	LAB
100153	34.1307	-118.492	425.3	100	320	Los Angeles; Mullholland Fire Station 109 Mullholland Dr (at Fwy 405); 1-story; ground level	0	SMMR
100155	34.2473	-118.604	282.5	220	2760	Chatsworth; Fire Station 96 Marilla St; 1-story; ground level	2	SFB
100157	33.9039	-118.245	334.8	640	3760	Compton; Cressey Park Fire Station 3 Rosecrans Ave ;2-story;ground level	3	LAB
100158	34.0967	-118.479	681.2	80	320	Los Angeles; Sepulveda Canyon	1	SMMR
100160	34.1465	-118.767	423.11	220	320	Agoura	1	SMMR
100161	33.5751	-117.261	399.9	0	0	Bear Creek Country Club	1	MVSMR
100162	33.3882	-117.195	652.2	0	0	Capra Ranch	0	MVSMR
100173	33.7141	-116.712	739.55	0	0	"Keenwild Fire Station, Mountain Center, Ca, Usa"	0	SJMR
100174	33.8689	-118.331	257	720	2520	La Fresa	3	LAB
100175	33.798	-118.088	261.91	660	3680	Long Beach Water Reclm Plant 1	3	LAB
100176	34.0003	-118.378	396.33	580	2600	La Cienega	0	BH
100178	33.9753	-118.149	273.32	720	4520	Laguna Bell	3	LAB
100179	34.1082	-119.066	419.23	320	320	Laguna Peak	0	SMMR
100181	33.3516	-116.562	682.03	20	20	Lost Valley Boy Scout Camp San Diego Co. Ca Usa	0	ABR
100191	33.6384	-116.401	760	20	20	Agave Hill	0	SJMR
100200	33.6117	-116.459	763	20	20	Pinon Flats Observatory Ca Usa	0	SJMR
100201	33.7435	-118.404	529.99	0	1540	Rancho Palos Verdes	0	PVH
100204	34.262	-118.669	350.8	320	320	Simi Valley - Katherine Rd & Sylvan	1	SV
100225	33.723	-118.026	319.9	580	3640	Huntington Beach - Springdale & Heil	3	LAB
100226	33.99	-118.312	248.9	780	4840	Los Angeles - Slauson & Western	3	LAB
100240	33.883	-118.117	261.2	840	4900	Bellflower - Flora Vista & Woodruff	3	LAB
100249	34.148	-118.371	306.7	220	1000	North Hollywood - Hwy 101 & Vineland	3	SFB
100255	34.084	-118.307	358	320	1960	Los Angeles - Melrose & Western	3	LAB
100257	34.044	-118.443	307.5	380	3360	Los Angeles - I405 & Missouri	2	LAB
100262	34.1369	-118.126	333	160	1460	Caltech Millikan Library	3	SGB
100274	34.1764	-118.36	290.17	340	1200	North Hollywood	3	SFB
100279	34.0507	-118.081	278.64	460	2180	Rush	2	SGB
100280	34.1561	-118.82	383.09	320	320	Thousand Oaks Ventura	0	SMMR
100282	34.1714	-118.185	714	20	320	"Pasadena Art Center, College Of Design"	0	GR
