Station Sequence Number	Station Latitude	Station Longitude	Vs30 (m/s)	Z1.0 (m)	Z2.5 (m)	Station Name	BasinID	Basin - Non Basin Label			Num	Simulation name	Network	Code	Lat	Lon
583	33.821	-117.818	416.93	320	2080	Villa Park - Serrano Ave	2	LAB			200	station.200	CE	14311	33.783	-118.11
1239	33.8218	-116.968	456.83	0	1600	San Jacinto - MWD West Portal	1	SJMR			153	station.153	CE	13893	33.7846	-117.8902
3080	33.824	-116.55	408.2	120	120	Palm Springs Desert Museum	2	IVB			168	station.168	CE	14002	33.7847	-118.1734
100386	33.8244	-116.512	346	320	320	Palm Spgs City Hall	3	IVB			97	station.97	CE	13067	33.7861	-117.8094
3090	33.829	-117.789	440.67	0	2020	Serrano	0	MVSMR			165	station.165	CE	13928	33.7867	-117.2305
265	33.829	-116.512	312.47	380	380	Palm Springs Airport	3	IVB			205	station.205	CE	14405	33.7872	-118.3569
80000152	33.8336	-116.797	499	0	1380	Skyland Ranch	0	SJMR			817	station.817	CI	UGC	33.788	-117.844
3088	33.834	-116.797	499	0	1380	"Banning, Hwy 243, San Jacinto"	0	SJMR			676	station.676	CI	OGC	33.78816	-117.844
574	33.836	-118.24	160.58	640	3100	Carson - Water St	3	LAB			154	station.154	CE	13894	33.789	-117.9215
287	33.84	-118.194	302.73	600	3220	LB - Rancho Los Cerritos	3	LAB			236	station.236	CE	14845	33.7899	-118.2969
1304	33.84	-117.957	275.12	620	2680	Anaheim - Brookhurst & Crescent	3	LAB			801	station.801	CI	STS	33.79033	-118.19878
577	33.846	-118.099	267.35	820	4800	Lakewood - Del Amo Blvd	3	LAB			146	station.146	CE	13886	33.7911	-117.968
579	33.847	-118.018	270.96	760	4440	Buena Park - La Palma	3	LAB			231	station.231	CE	14831	33.7918	-118.3203
100102	33.8482	-118.096	258.1	820	4860	Del Amo	3	LAB			693	station.693	CI	PLS	33.7953	-117.60906
271	33.851	-116.852	659.09	0	1440	Silent Valley - Poppet Flat	0	SJMR			180	station.180	CE	14037	33.7967	-118.338
112	33.852	-117.451	592.42	0	0	Lake Mathews Dike Toe	0	IER			625	station.625	CI	LBW1	33.798	-118.08837
1652	33.853	-117.857	283.54	460	2460	Anaheim - Kraemer & La Palma	3	LAB			626	station.626	CI	LBW2	33.798	-118.08837
1318	33.854	-117.817	359.47	320	2280	Anaheim - Lakeview & Riverdale	1	LAB			241	station.241	CE	14870	33.7983	-118.1367
1653	33.8556	-117.54	334.85	160	320	Corona - California Ave	1	SBCB			167	station.167	CE	14001	33.802	-118.215
3077	33.862	-117.205	417.99	0	0	"Lake Perris, Lake Perris Drive"	1	IER			239	station.239	CE	14868	33.806	-118.1642
1305	33.863	-117.742	484.66	320	2240	Anaheim - Hwy 91 & Weir Cyn Rd	0	MVSMR			512	station.512	CI	BRE	33.80776	-117.98116
100174	33.8689	-118.331	257	720	2520	La Fresa	3	LAB			191	station.191	CE	14127	33.81	-118.15
274	33.869	-117.709	367.54	0	1380	Featherly Park - Maint	1	CHELAR			237	station.237	CE	14846	33.8108	-118.2769
100108	33.8717	-117.923	351.22	640	4500	Fullerton	3	LAB			181	station.181	CE	14038	33.8132	-118.3702
80000026	33.8735	-118.039	234.133	760	4060	Cerritos Fire Station	3	LAB			825	station.825	CI	VPD	33.81596	-117.76338
100137	33.876	-118.24	352.7	540	3180	Compton - Hwy 91 & Wilmington	3	LAB			641	station.641	CI	LMS	33.81744	-117.445
1312	33.876	-117.593	420	180	320	Corona - 6th & Smith	1	SBCB			103	station.103	CE	13095	33.8178	-117.1327
3051	33.876	-117.561	392.7	200	2100	"Corona, E. 5th St. and Joy St."	1	SBCB			190	station.190	CE	14125	33.8179	-118.1581
573	33.881	-118.176	344.72	820	4920	LB - Orange Ave	3	LAB			240	station.240	CE	14869	33.8182	-118.1082
100240	33.883	-118.117	261.2	840	4900	Bellflower - Flora Vista & Woodruff	3	LAB			148	station.148	CE	13888	33.8195	-117.8495
1311	33.884	-117.514	354.82	160	320	Corona - Hwy 91 & McKinley	1	IER			783	station.783	CI	SME	33.82288	-117.35623
1323	33.889	-117.886	376.96	520	3960	Fullerton - CSU Fullerton Grnds	2	LAB			238	station.238	CE	14847	33.8268	-118.2167
100607	33.892	-117.161	739.23	0	0	Perris Dam	0	IER			796	station.796	CI	SRN	33.82854	-117.78938
1342	33.895	-117.32	581.8	0	0	Riverside - Van Buren&Trautwein	0	IER			69	station.69	NP	5411	33.83066	-118.32888
100150	33.896	-118.377	332.3	760	3300	Hawthorne; FAA Bldg	3	LAB			719	station.719	CI	Q0028	33.83131	-117.18146
540	33.897	-118.346	311.86	660	2660	Lawndale - Osage Ave	3	LAB			185	station.185	CE	14050	33.8337	-118.3559
3107	33.898	-118.209	267.35	800	4700	Compton - Long Beach & Palmer	3	LAB			247	station.247	CE	14936	33.8337	-118.1608
571	33.899	-118.196	266.9	840	5120	Compton - Castlegate St	3	LAB			604	station.604	ZY	KLVC	33.8354	-118.159
1347	33.902	-117.234	308.33	0	0	Moreno Valley - Indian & Kennedy	1	IER			202	station.202	CE	14400	33.837	-118.0724
100157	33.9039	-118.245	334.8	640	3760	Compton; Cressey Park Fire Station 3 Rosecrans Ave ;2-story;ground level	3	LAB			198	station.198	CE	14242	33.84	-118.1952
3103	33.904	-117.561	331.92	160	320	Norco - 1st & Hamner	3	IER			4	station.4	WR	303	33.84	-117.19
285	33.905	-118.279	316.02	580	3280	Inglewood - Union Oil	3	LAB			96	station.96	CE	13066	33.8401	-117.9568
80000012	33.9138	-116.784	416.933	0	1240	Cabazon	1	SJMR			708	station.708	CI	Q0011	33.84025	-118.01537
580	33.916	-117.896	322.75	520	3880	Brea - S Flower Av	1	LAB			712	station.712	CI	Q0016	33.84317	-117.56499
1306	33.917	-117.443	333.31	160	320	Riverside - Hwy 91 & Van Buren	1	IER			230	station.230	CE	14830	33.8465	-118.1069
225	33.9176	-116.783	376.91	0	1240	Cabazon	1	SBMR			553	station.553	CI	DLA	33.84822	-118.09624
1340	33.919	-117.488	334.99	160	320	Riverside - Hole & La Sierra	1	IER			12	station.12	NP	707	33.84904	-117.45483
1361	33.92	-118.24	273.57	780	4760	LA - MLK Hospital Grounds	3	LAB			16	station.16	WR	803	33.85	-117.191
572	33.92	-118.137	245.06	840	5000	Downey - Birchdale	3	LAB			143	station.143	CE	13883	33.853	-117.857
568	33.921	-117.973	338.27	560	2940	La Habra - Briarcliff	1	LAB			133	station.133	CE	13849	33.8534	-117.818
1349	33.921	-117.173	338.19	0	860	Moreno Valley - Alessandro&More	1	IER			131	station.131	CE	13726	33.8556	-117.5404
3039	33.921	-116.981	341	0	2480	"Beaumont, I-10 at 79"	1	IER			128	station.128	CE	13698	33.856	-117.541
288	33.924	-118.167	271.9	880	5520	Downey - Co Maint Bldg	3	LAB			537	station.537	CI	COQ	33.86054	-117.51049
80000118	33.924	-117.617	397.188	200	920	Prado Wetlands	3	SBCB			691	station.691	CI	PER	33.86164	-117.20529
1241	33.9247	-116.548	367.84	820	1620	North Palm Springs Fire Sta #36	3	IVB			98	station.98	CE	13068	33.8633	-117.7421
3102	33.927	-117.803	378.17	180	2180	Olinda - Carbon Canyon Rd	0	CHELAR			139	station.139	CE	13879	33.8663	-117.9591
290	33.929	-118.26	301	740	4540	LA - 116th St School	3	LAB			246	station.246	CE	14935	33.8675	-118.2618
1298	33.93	-116.972	315.21	0	2720	Beaumont - 6th & Maple	1	IER			224	station.224	CE	14824	33.8677	-118.2903
1326	33.932	-117.955	331.73	580	3280	La Habra - La Habra&Monte Vista	1	LAB			179	station.179	CE	14036	33.8688	-118.3683
1319	33.933	-117.896	396.21	440	2900	Brea - Central Ave Caltrans Yard	1	LAB			109	station.109	CE	13122	33.8688	-117.7094
100100	33.936	-116.578	396.06	580	1580	Devers	3	IVB			620	station.620	CI	LAF	33.86889	-118.33143
1655	33.939	-118.098	274.73	660	3800	Downey - Florence & I605	3	LAB			579	station.579	CI	FUL	33.8717	-117.92251
80000076	33.9405	-118.421	447.282	760	3760	LAX Fire Station	3	LAB			243	station.243	CE	14872	33.873	-118.1755
3096	33.941	-116.409	587	160	1740	West Wide Canyon	0	JTR			92	station.92	NP	5498	33.87316	-117.12102
1261	33.943	-118.411	424.54	720	2440	Los Angeles; LAX Fire Station	3	LAB			108	station.108	CE	13100	33.875	-117.636
570	33.944	-118.087	339.06	620	3580	Santa Fe Springs - E.Joslin	3	LAB			540	station.540	CI	CRN	33.87574	-117.56106
100460	33.9454	-117.924	414.77	420	2560	Olinda	0	CHELAR			188	station.188	CE	14059	33.8758	-118.2397
1375	33.946	-118	399.45	580	3620	Whittier - Scott & Whittier	2	LAB			107	station.107	CE	13099	33.876	-117.593
80000097	33.9474	-117.173	451.188	0	1140	Moreno	1	IER			646	station.646	CI	LTP	33.8811	-118.17568
100398	33.9487	-118.256	268.81	840	5360	Watts	3	LAB			130	station.130	CE	13705	33.882	-117.55
275	33.951	-117.446	389.95	160	320	Riverside Airport	1	IER			114	station.114	CE	13186	33.882	-117.549
3023	33.951	-117.388	323.4	160	320	Riverside - Hwy 91 & Central	1	IER			759	station.759	CI	RRS	33.88217	-117.36646
3105	33.962	-118.065	261.07	640	3920	Santa Fe Springs - Dice & Slauson	3	LAB			229	station.229	CE	14829	33.8829	-118.1179
267	33.962	-116.509	359	340	1760	Desert Hot Springs	2	IVB			106	station.106	CE	13098	33.8842	-117.5141
100417	33.9627	-118.437	402.06	700	2040	Playa Del Rey	3	LAB			745	station.745	CI	Q0074	33.88642	-118.3732
586	33.965	-118.158	267.13	780	4900	Bell Gardens - Jaboneria	3	LAB			186	station.186	CE	14052	33.888	-118.41
1307	33.968	-117.252	414.83	0	0	Moreno Valley - Sunny Mead & Vil	1	IER			196	station.196	CE	14221	33.8883	-118.4098
3081	33.973	-117.327	360	180	320	"Riverside, UCR campus"	1	IER			138	station.138	CE	13878	33.8891	-117.887
100545	33.9733	-117.327	360	180	320	Riverside Surface	1	IER			175	station.175	CE	14026	33.8892	-118.0469
1344	33.975	-117.486	329.84	160	320	Riverside - Limonite & Downey	1	IER			689	station.689	WR	PEC	33.89198	-117.16135
100178	33.9753	-118.149	273.32	720	4520	Laguna Bell	3	LAB			158	station.158	CE	13916	33.8945	-117.3219
532	33.976	-118.289	241.41	840	5300	LA - W 70th St	3	LAB			35	station.35	NP	5243	33.89538	-118.37678
1341	33.979	-117.344	340.65	160	320	Riverside - I215 & 3rd	1	IER			536	station.536	CI	COO	33.89604	-118.21639
100226	33.99	-118.312	248.9	780	4840	Los Angeles - Slauson & Western	3	LAB			187	station.187	CE	14058	33.898	-118.2088
567	33.99	-117.943	337	320	1980	Hacienda Heights - Colima	1	CHELAR			741	station.741	CI	Q0066	33.89873	-117.77662
224	33.99	-116.656	425.02	100	1720	Whitewater Trout Farm	0	SBMR			163	station.163	CE	13925	33.9019	-117.2355
100605	33.9905	-118.362	394.1	560	2940	Baldwin Hills Oil	0	BH			159	station.159	CE	13918	33.9035	-117.5613
100129	33.9935	-117.376	355.87	160	320	Riverside	1	IER			78	station.78	NP	5429	33.90386	-118.24532
3049	33.999	-117.68	292	220	820	Chino	3	SBCB			248	station.248	CE	14937	33.9051	-118.0113
100176	34.0003	-118.378	396.33	580	2600	La Cienega	0	BH			140	station.140	CE	13880	33.9086	-117.9311
549	34.001	-118.431	321.91	580	2680	LA - Centinela St	3	LAB			250	station.250	CE	14988	33.909	-118.3148
80000131	34.001	-118.013	488.485	320	1960	Rose Hills Cemetery 2	0	CHELAR			117	station.117	CE	13213	33.912	-117.196
1427	34.002	-118.077	261.45	520	2880	Pico Rivera - Durfee & Whittier	3	LAB			650	station.650	CI	MDA	33.9138	-117.00067
533	34.004	-118.23	283.14	660	4620	LA - E Vernon Ave	3	LAB			49	station.49	NP	5328	33.9146	-118.06622
1417	34.004	-117.058	346.82	320	2460	Yucaipa Valley - Calimesa & Cnty	1	IER			2	station.2	NP	283	33.91679	-118.06756
80000116	34.0044	-118.807	432.686	0	1000	Point Dume	0	SMMR			54	station.54	NP	5337	33.91683	-118.06563
1217	34.0047	-117.224	488	160	340	Reche Canyon - Olive Dell Ranch	0	IER			101	station.101	CE	13079	33.9174	-117.443
531	34.005	-118.279	285.28	720	4920	LA - S Grand Ave	3	LAB			155	station.155	CE	13913	33.9188	-117.4877
3067	34.005	-117.562	335.43	200	320	"Mira Loma, I-15 and Riverside"	3	SBCB			227	station.227	CE	14827	33.92	-118.1273
318	34.009	-118.361	297.07	320	3320	LA - Baldwin Hills	0	BH			38	station.38	NP	5275	33.92024	-117.32066
100377	34.0095	-117.951	342.64	240	2440	Walnut	1	SGB			213	station.213	CE	14654	33.921	-118.391
348	34.011	-118.49	336.2	600	2500	Santa Monica City Hall	3	LAB			164	station.164	CE	13927	33.9212	-117.1731
335	34.013	-118.8	349.54	0	780	Malibu - Point Dume Sch	0	SMMR			504	station.504	CI	BBS	33.92139	-116.98058
1396	34.014	-117.511	342.5	160	320	Mira Loma - Mission&San Sevaine	2	SBCB			232	station.232	CE	14834	33.9219	-118.3268
100335	34.0144	-118.456	377.62	600	2900	Santa Monica Fire St	3	LAB			214	station.214	CE	14724	33.923	-118.243
100483	34.0192	-118.286	277.66	580	4100	Univ Southern Ca	3	LAB			813	station.813	ZY	TNVC	33.9237	-118.1977
100397	34.021	-117.866	383.4	160	1640	Walnut - La Puente & Lemon	0	CHELAR			201	station.201	CE	14368	33.9239	-118.1679
566	34.026	-117.918	339.52	220	2340	La Puente - Rimgrove Av	1	CHELAR			219	station.219	CE	14787	33.9244	-118.2394
100144	34.03	-118.434	290.2	700	3660	Los Angeles - I10/405 Interchange Grnds	3	LAB			728	station.728	CI	Q0042	33.92596	-117.65823
80000161	34.031	-117.455	422.855	160	320	Stringfellow Superfund Site Jurupa Mountains	0	IER			142	station.142	CE	13882	33.9274	-117.8034
3031	34.033	-117.312	427.88	160	320	Grand Terrace - Mt Vernon	1	IER			176	station.176	CE	14027	33.9283	-118.0576
3089	34.035	-116.808	503	0	1940	Snow Peak	0	SBMR			203	station.203	CE	14403	33.929	-118.2611
80000035	34.0355	-117.112	422.855	320	2060	Crafton Hills	0	IER			95	station.95	CE	12919	33.9299	-116.9726
1425	34.037	-118.263	305.01	320	2240	Los Angeles - Olive & Pico	3	LAB			193	station.193	CE	14175	33.9307	-118.2143
337	34.037	-118.178	349.43	380	2380	LA - Obregon Park	2	GR			141	station.141	CE	13881	33.9315	-117.9557
3069	34.039	-116.648	377	20	2080	Mission Creek	0	SBMR			94	station.94	CE	12649	33.933	-116.991
1662	34.041	-118.348	333.75	520	3440	Los Angeles - Washington & La Brea	3	LAB			134	station.134	CE	13873	33.9331	-117.8963
