station_id,station_name,station_sequence_no,station_id_no_nga,station_latitude,station_longitude,vs30_selected_for_analysis,new_z1_cvmsi,new_z25_cvmsi
4460,"Rubicon Trail, California w84",2000815,NN_RUB,39.0517,-120.155,362,0,0
4474,"Walker, California w84",2000821,NN_WAK,38.5043,-119.438,621,0,0
4239,"Byerly Seismographic Vault, Berkeley, CA",2000836,BK_BKS,37.876,-122.236,427,0,0
4293,Briones Reserve,2000843,BK_BRIB,37.919,-122.152,427,0,0
4320,"Firth Ct., Fremont, CA",2000860,NC_C001,37.522,-121.934,418,0,0
4246,"Cottage Ct., Castro Valley, CA",2000862,NC_C003,37.707,-122.084,458,0,0
4247,"Mandana Blvd., Oakland, CA",2000864,NC_C005,37.811,-122.236,362,0,0
4321,"Lake Pillsbury Dr., Fremont, CA",2000865,NC_C006,37.592,-122.058,458,0,0
4248,"Forest Lane, Berkeley, CA",2000866,NC_C007,37.896,-122.263,565,0,0
4267,"Brunell Dr., Oakland, CA",2000868,NC_C064,37.805,-122.185,621,0,0
4322,Bright Common Fremont,2000872,NC_C015,37.559,-121.994,458,0,0
4323,"Christie Dr., Martinez, CA",2000875,NC_C018,37.979,-122.117,427,0,0
4251,"Rhoda Ave., Oakland, CA",2000876,NC_C020,37.801,-122.208,362,0,0
4252,"Meadowview Dr., Castro Valley, CA",2000877,NC_C021,37.695,-122.064,362,0,0
4593,Fremont - Grimmer & Auto Mall Pkwy,2000879,CE_57384,37.5088,-121.961,458,0,0
4253,"33rd St., Richmond, CA",2000880,NC_C024,37.943,-122.336,362,0,0
4324,"Lawnview Circle, Danville, CA",2000883,NC_C027,37.794,-121.98,223,0,0
4254,"Eucalyptus Rd., Berkeley, CA",2000884,NC_C028,37.851,-122.246,665,0,0
4310,Burlingame - Davis & El Camino Real,2000889,CE_58395,37.593,-122.381,365,0,0
4343,Windsor Ct LAltos Hill,2000890,NC_J002,37.368,-122.154,665,0,0
4344,"Middlefield Rd, Palo Alto, CA",2000891,NC_J003,37.436,-122.135,458,0,0
4345,"Magdalena Av, Los Altos, CA",2000894,NC_J006,37.357,-122.102,285,0,0
4346,"18th Ave, Menlo Park, CA",2000895,NC_J008,37.476,-122.188,223,0,0
4348,"10th Ave., San Francisco, CA",2000899,NC_J013,37.756,-122.467,306,0,0
4349,S 9th St San Jose,2000900,NC_J015,37.332,-121.876,458,0,0
4350,"Stony Hill Rd., Redwood City, CA",2000901,NC_J016,37.457,-122.252,565,0,0
4351,"Valota Rd., Redwood City, CA",2000902,NC_J017,37.461,-122.229,223,0,0
4352,"Santa Cruz Ave., Menlo Park, CA",2000904,NC_J019,37.434,-122.198,362,0,0
4271,"Buena Vista Ave E, San Francisco, CA",2000905,NC_J020,37.766,-122.441,306,0,0
4272,"Cottonwood Dr., San Bruno, CA",2000907,NC_J022,37.63,-122.445,365,0,0
4354,"Los Altos Ave., Los Altos, CA",2000913,NC_J030,37.386,-122.121,362,0,0
4355,"Madeira Drive, Pacifica, CA",2000914,NC_J031,37.581,-122.482,285,0,0
4274,"Euclid Ave., San Bruno, CA",2000915,NC_J032,37.631,-122.415,362,0,0
4356,"Emilie Ave., Atherton, CA",2000916,NC_J033,37.453,-122.196,223,0,0
4357,"Orange Ave., Los Altos, CA",2000917,NC_J034,37.37,-122.113,362,0,0
4286,"Baypoint Dr., San Rafael, CA",2000922,NC_N001,37.96,-122.494,202,0,0
4428,7433 Soaring Heights w84gm,80000000,NN_WTNK,36.1917,-115.011,598.5,0,0
4491,Bachelor Mountain,80000001,CI_BAC,33.6122,-117.041,575.75,0,0
4526,Bailey,80000002,CI_BAI,34.777,-118.773,431.665,0,0
4628,Beckwourth Peak,80000004,WR_BKW,39.7692,-120.436,475.267,0,0
4431,Black Canyon,80000005,CI_BLC,34.2436,-118.673,464.333,20,320
4510,Borrego Valley Downhole Array,80000006,SB_BVDA,33.3267,-116.367,378,200,1660
4470,Bowman Road,80000007,CI_WBM,35.6084,-117.89,451.188,0,1160
4527,Buellton - FS #31,80000008,CI_BUE,34.613,-120.197,407.6,0,5640
4636,Burbank Airport  (aka BBA2),80000009,NP_5492,34.2001,-118.36,320.529,340,1200
4524,CA:Elizabeth Lake Tunnel  S,80000010,NP_5481,34.5993,-118.454,517.871,20,320
4507,CA:Imp Vly;Superstition Mtn Bs,80000011,NP_5274,32.9625,-115.815,359.267,700,1280
4395,Cabazon,80000012,CI_CZN,33.914,-116.784,402.584,0,1240
4422,Cajon Mountain,80000013,CI_CJM,34.2712,-117.424,472,0,1260
4492,California City Airport,80000014,CI_CCA,35.1525,-118.016,310.667,0,1140
4529,Camarillo,80000016,CI_CLO,34.2204,-119.009,422.855,320,320
4518,Cambria Substation dig,80000017,PG_CSD,35.6005,-121.094,671.267,0,0
4569,Camp Tamarancho,80000018,NC_NCT,37.9972,-122.616,671.267,0,0
4498,Carpinteria FD,80000019,CI_CFD,34.3993,-119.516,378,0,5380
4446,Carrizo,80000020,CI_CRR,32.8868,-115.969,377.776,40,40
4401,"Cary Ranch, Anza, CA, USA",80000021,AZ_CRY,33.5654,-116.737,416.933,0,1300
4525,"Cass Winery, Paso Robles, CA, USA",80000022,BK_TCAS,35.6095,-120.56,471.794,0,0
4530,Castaic Lake Los Angeles County Fire Station #149,80000023,CI_CSL,34.4965,-118.616,368.667,320,1560
4494,Castaic Valley West,80000024,CI_CVW,34.9222,-118.939,420.377,0,1160
4515,Cedar Springs Dam,80000025,WR_CSP,34.298,-117.358,598.427,0,1320
4542,Cerritos Fire Station,80000026,CI_CRF,33.8735,-118.039,234.133,760,4060
4429,"Chualar Canyon, Santa Cruz, CA, USA",80000028,BK_SCZ,36.598,-121.403,655.734,0,0
4418,"Clark Property, Shandon, CA, USA",80000029,BK_TCHL,35.6881,-120.401,476.461,0,0
4445,Coachella,80000030,CI_COA,32.8634,-115.123,221.8,320,3020
4499,Cook Ranch 2,80000031,CI_COK2,32.8505,-115.728,276.8,500,2380
4512,COON,80000032,ZY_COON,32.7539,-115.951,348.667,660,660
4441,Coso Hot Springs 2,80000033,CI_WCS2,36.0252,-117.765,655.733,0,1040
4447,Cottonwood Mtns,80000034,CI_CTW,33.6773,-115.872,451.188,20,20
4493,Crafton Hills,80000035,CI_CFT,34.0355,-117.112,422.855,320,2060
4531,Del Valle Training Center,80000036,CI_DTC,34.4242,-118.662,480.521,320,4440
4432,Desert Tortoise Park,80000037,CI_DTP,35.2674,-117.846,555.385,0,1340
4463,Dry Creek,80000038,NC_MDY,37.658,-119.012,515.192,0,2320
4560,East Mesa,80000040,CI_EMS,32.7392,-114.985,234.133,320,2820
4502,El Tejon,80000041,CI_TEJ,35.2311,-118.689,451.188,0,0
4517,Elizabeth Lake Tunnel North (ELTN),80000042,NP_5480,34.7031,-118.426,618.435,0,0
4543,Elsinore,80000043,CI_ESI,33.6739,-117.326,581,0,0
4457,"Emerald Bay, California w84",80000044,NN_EMB,38.9744,-120.103,646.4,0,0
4519,Emergency Op Facility,80000045,PG_EFD,35.3205,-120.725,618.267,0,0
4532,Fillmore,80000046,CI_FMO,34.4092,-118.921,378,840,6560
4533,Frazier Mountain,80000049,CI_FRM,34.7752,-118.969,648.553,0,0
4511,Garner Valley,80000050,SB_GVDA,33.6689,-116.674,281.5,0,0
4433,Goat Mountain Astronomical Research Station,80000051,CI_GMA,34.2915,-116.383,325,0,1080
4544,Gould,80000052,CI_GOU,34.2212,-118.188,565.767,20,320
4443,"Greenwater Valley, CA. (GPS 12/06/2000) w84gm",80000053,NN_GWY,36.186,-116.67,626.4,0,0
4434,Harper Dry Lake bed,80000054,CI_HAR,35.0114,-117.299,294.667,0,0
4478,"Hat Creek Radio Astronomy Obs., Cassel, CA, USA",80000055,BK_HATC,40.8161,-121.461,655.733,0,0
4467,Hayfield,80000056,CI_HAY,33.7073,-115.639,602.733,20,20
4453,"Hell's Gate, California w84",80000057,SN_HEL,36.7246,-116.976,471.188,0,0
4409,Hemet 2,80000058,CI_HMT2,33.7081,-117.002,595.649,0,0
4468,High Desert Hunt Club - Tejon Ranch,80000059,CI_HDH,34.7753,-118.64,465.647,0,1380
4435,Holcomb Ridge,80000060,CI_HOL,34.4583,-117.845,735.498,0,600
4403,"Idyllwild Water Reclamation, Idyllwild, CA, USA",80000061,AZ_IWR,33.7294,-116.768,677.539,0,840
4448,Imperial,80000062,CI_IMP,32.9015,-115.561,268.467,440,3300
4410,In-Ko-Pah,80000063,CI_IKP,32.6501,-116.109,1057.44,0,0
4425,Indio Hill,80000064,CI_IDO,33.7968,-116.222,557.139,420,1680
4500,Indio Quarry,80000065,CI_IDQ,33.7679,-116.239,387.6,780,1740
4411,Inspiration point,80000066,CI_IPT,34.197,-117.285,297,0,0
4549,"Irvine USD, Northwood High",80000067,CI_NWH,33.7331,-117.751,461.562,0,1360
4559,Ivy Glen,80000068,CI_IVY,33.7603,-117.477,416.933,0,0
4405,"Jim Saunders Place, Anza, CA, USA",80000069,AZ_SND,33.5519,-116.613,647.055,20,20
4412,Juniper Hills 2,80000070,CI_JNH2,34.4489,-117.955,451.188,0,0
4482,"Kaiserville, Nevada w84gm",80000071,NN_KVN,39.0484,-118.101,489.348,0,0
4480,Lake Henshaw,80000072,CI_LKH,33.236,-116.759,646.128,0,0
4545,Lake Mathews Hills,80000073,CI_LMH,33.7442,-117.391,501.798,0,0
4436,Lake Mathews Shore,80000074,CI_LMS,33.8174,-117.445,369.239,0,0
4534,Latigo,80000075,CI_LAT,34.0445,-118.776,421.529,0,0
4635,LAX Fire Station,80000076,NP_5499,33.9405,-118.421,407.807,760,3780
4495,Leona Valley,80000077,CI_LEO,34.6306,-118.305,535.999,0,0
4535,Levy,80000078,CI_LVY,34.1741,-119.156,251.133,520,2920
4465,Lincoln Peak,80000079,NC_MLI,37.6368,-119.018,523.992,0,2060
4483,"Little Huntoon Valley, Nevada w84gm",80000080,NN_LHV,38.2513,-118.505,477.388,0,0
4520,Little Morro Creek dig,80000081,PG_LMD,35.3803,-120.825,571.6,0,0
4437,Little Rock Reservoir 2,80000082,CI_LRR2,34.5271,-118.03,588.669,0,0
4521,Los Osos digital,80000083,PG_LSD,35.2973,-120.843,385.1,0,0
4624,Mammoth Hole surface,80000084,NC_MDH,37.6798,-118.909,466.554,0,3600
4591,Mammoth Mtn Horseshoe,80000085,NC_MQ1P,37.6128,-119.021,513.817,0,1760
4623,Mammoth Mtn McCoy #2,80000086,NC_MCY,37.6429,-119.029,515.455,0,1900
4458,"Martis Peak, California w84gm",80000087,NN_MPK,39.2928,-120.036,518.933,0,0
4488,McCloud,80000088,NC_LMC,41.2742,-122.122,365.6,0,0
4471,Mccloud Flat,80000089,CI_WMF,36.1176,-117.855,416.933,0,1100
4585,Mesa Elementary School,80000090,CI_MES,34.2631,-119.096,422.855,320,1820
4513,Mesa Grande,80000091,ZY_MGD,33.1888,-116.761,646.213,0,0
4565,Milpitas,80000092,NC_CMLP,37.4491,-121.834,489.665,0,0
4464,Minaret Summit,80000093,NC_MINS,37.6538,-119.061,643.625,0,1420
4489,"Mission Trails Regional Park, Santee, CA, USA",80000095,AZ_MTRP,32.8203,-117.057,604.776,0,0
4548,Moraga,80000096,CI_MOR,33.5039,-117.14,363.933,0,0
4547,Moreno,80000097,CI_MNO,33.9474,-117.173,451.188,0,1140
4508,Mt. Lowe,80000100,PG_MLD,35.3225,-120.603,386.067,0,0
4456,N. Tahoe City Carnelian Bay,80000101,NN_CTC,39.2077,-120.126,518.933,0,0
4625,National Weather Station w84gm,80000102,NN_NOAA,39.5681,-119.796,402,0,0
4562,Neenach,80000103,CI_NEN,34.7754,-118.501,320.333,0,2360
4452,"Nelson, NV, USA - NN reactivation",80000104,NN_V12A,35.7266,-114.851,484.033,0,0
4556,Nine Mile Canyon,80000105,CI_WNM,35.8422,-117.906,407.6,0,0
4514,Nipomo,80000106,PG_NPD,35.0863,-120.473,485.267,0,2840
4449,Oat Mountain,80000107,CI_OAT,34.3436,-118.614,471.573,320,3080
4546,Pacific Marine Mammal Center,80000109,CI_MMC,33.573,-117.763,355.6,0,1900
4629,Palermo,80000111,WR_PAM,39.449,-121.52,593.547,0,0
4551,Pechanga,80000113,CI_PGA,33.4914,-117.063,325,0,0
4459,"Pine Nut, Nevada w84",80000114,NN_PNT,39.0891,-119.6,668.644,0,0
4561,Piute,80000115,CI_PUT,34.6912,-117.969,277.667,0,1080
4552,Point Dume,80000116,CI_PTD,34.0044,-118.807,432.686,0,1000
4438,Polly Butte 2,80000117,CI_POB2,33.6871,-116.924,600.105,0,0
4550,Prado Wetlands,80000118,CI_PDW,33.924,-117.617,397.188,200,920
4522,Pt Piedras Blancas,80000119,PG_PBD,35.709,-121.271,571.6,0,0
4586,Quail Canyon,80000120,CI_QLC,35.0408,-119.974,441.6,0,680
4444,"Queen of Sheba Mine, CA. (GPS 01/17/2001)   w84gm",80000121,NN_QSM,35.965,-116.869,451.188,0,0
4413,Ragtown,80000122,CI_RAG,34.6829,-116.151,498.933,0,0
4420,"Rambo Property, Shandon, CA, USA",80000123,BK_TRAM,35.6769,-120.271,524.794,0,3900
4553,Rancho Cucamonga,80000124,CI_RCU,34.0831,-117.524,320.333,200,520
