BEA	15070	33.9916	-118.289	
BEA	15080	33.9916	-118.278	
BEA	15090	33.9917	-118.267	
BEA	1600	34.0003	-118.365	
BEA	160100	34.0007	-118.256	
BEA	16010	34.0003	-118.354	
BEA	160110	34.0008	-118.245	
BEA	160120	34.0008	-118.235	
BEA	160130	34.0008	-118.224	
BEA	160140	34.0009	-118.213	
BEA	160150	34.0009	-118.202	
BEA	160160	34.0009	-118.191	
BEA	160170	34.001	-118.18	
BEA	160180	34.001	-118.17	
BEA	160190	34.0011	-118.159	
BEA	16020	34.0004	-118.343	
BEA	16030	34.0004	-118.332	
BEA	16040	34.0004	-118.321	
BEA	16050	34.0005	-118.31	
BEA	16060	34.0005	-118.3	
BEA	16070	34.0006	-118.289	
BEA	16080	34.0006	-118.278	
BEA	16090	34.0007	-118.267	
BEA	1700	34.0092	-118.365	
BEA	170100	34.0097	-118.256	
BEA	17010	34.0093	-118.354	
BEA	170110	34.0097	-118.245	
BEA	170120	34.0098	-118.235	
BEA	170130	34.0098	-118.224	
BEA	170140	34.0099	-118.213	
BEA	170150	34.0099	-118.202	
BEA	170160	34.0099	-118.191	
BEA	170170	34.01	-118.18	
BEA	170180	34.01	-118.17	
BEA	170190	34.01	-118.159	
BEA	17020	34.0093	-118.343	
BEA	17030	34.0094	-118.332	
BEA	17040	34.0094	-118.321	
BEA	17050	34.0095	-118.31	
BEA	17060	34.0095	-118.3	
BEA	17070	34.0096	-118.289	
BEA	17080	34.0096	-118.278	
BEA	17090	34.0097	-118.267	
BEA	1800	34.0182	-118.365	
BEA	180100	34.0187	-118.256	
BEA	18010	34.0183	-118.354	
BEA	180110	34.0187	-118.245	
BEA	180120	34.0188	-118.235	
BEA	180130	34.0188	-118.224	
BEA	180140	34.0188	-118.213	
BEA	180150	34.0189	-118.202	
BEA	180160	34.0189	-118.191	
BEA	180170	34.019	-118.18	
BEA	180180	34.019	-118.17	
BEA	180190	34.019	-118.159	
BEA	18020	34.0183	-118.343	
BEA	18030	34.0184	-118.332	
BEA	18040	34.0184	-118.321	
BEA	18050	34.0185	-118.311	
BEA	18060	34.0185	-118.3	
BEA	18070	34.0186	-118.289	
BEA	18080	34.0186	-118.278	
BEA	18090	34.0186	-118.267	
BEA	1900	34.0272	-118.365	
BEA	190100	34.0277	-118.256	
BEA	19010	34.0272	-118.354	
BEA	190110	34.0277	-118.246	
BEA	190120	34.0277	-118.235	
BEA	190130	34.0278	-118.224	
BEA	190140	34.0278	-118.213	
BEA	190150	34.0279	-118.202	
BEA	190160	34.0279	-118.191	
BEA	190170	34.0279	-118.181	
BEA	190180	34.028	-118.17	
BEA	190190	34.028	-118.159	
BEA	19020	34.0273	-118.343	
BEA	19030	34.0273	-118.332	
BEA	19040	34.0274	-118.321	
BEA	19050	34.0274	-118.311	
BEA	19060	34.0275	-118.3	
BEA	19070	34.0275	-118.289	
BEA	19080	34.0276	-118.278	
BEA	19090	34.0276	-118.267	
BEA	200	33.8745	-118.364	
BEA	20100	33.875	-118.256	
BEA	2010	33.8745	-118.353	
BEA	20110	33.875	-118.245	
BEA	20120	33.875	-118.234	
BEA	20130	33.8751	-118.223	
BEA	20140	33.8751	-118.212	
