BEA	07x08	33.9198	-118.277	
BEA	07x09	33.9198	-118.267	
BEA	07x10	33.9199	-118.256	
BEA	07x11	33.9199	-118.245	
BEA	07x12	33.92	-118.234	
BEA	07x13	33.92	-118.223	
BEA	07x14	33.92	-118.212	
BEA	07x15	33.9201	-118.202	
BEA	07x16	33.9201	-118.191	
BEA	07x17	33.9201	-118.18	
BEA	07x18	33.9202	-118.169	
BEA	07x19	33.9202	-118.158	
BEA	08x00	33.9284	-118.364	
BEA	08x01	33.9284	-118.353	
BEA	08x02	33.9285	-118.342	
BEA	08x03	33.9285	-118.332	
BEA	08x04	33.9286	-118.321	
BEA	08x05	33.9286	-118.31	
BEA	08x06	33.9287	-118.299	
BEA	08x07	33.9287	-118.288	
BEA	08x08	33.9288	-118.277	
BEA	08x09	33.9288	-118.267	
BEA	08x10	33.9289	-118.256	
BEA	08x11	33.9289	-118.245	
BEA	08x12	33.9289	-118.234	
BEA	08x13	33.929	-118.223	
BEA	08x14	33.929	-118.213	
BEA	08x15	33.9291	-118.202	
BEA	08x16	33.9291	-118.191	
BEA	08x17	33.9291	-118.18	
BEA	08x18	33.9292	-118.169	
BEA	08x19	33.9292	-118.158	
BEA	09x00	33.9374	-118.364	
BEA	09x01	33.9374	-118.353	
BEA	09x02	33.9375	-118.342	
BEA	09x03	33.9375	-118.332	
BEA	09x04	33.9376	-118.321	
BEA	09x05	33.9376	-118.31	
BEA	09x06	33.9377	-118.299	
BEA	09x07	33.9377	-118.288	
BEA	09x08	33.9378	-118.278	
BEA	09x09	33.9378	-118.267	
BEA	09x10	33.9378	-118.256	
BEA	09x11	33.9379	-118.245	
BEA	09x12	33.9379	-118.234	
BEA	09x13	33.938	-118.223	
BEA	09x14	33.938	-118.213	
BEA	09x15	33.938	-118.202	
BEA	09x16	33.9381	-118.191	
BEA	09x17	33.9381	-118.18	
BEA	09x18	33.9381	-118.169	
BEA	09x19	33.9382	-118.158	
BEA	10x00	33.9464	-118.364	
BEA	10x01	33.9464	-118.353	
BEA	10x02	33.9465	-118.343	
BEA	10x03	33.9465	-118.332	
BEA	10x04	33.9466	-118.321	
BEA	10x05	33.9466	-118.31	
BEA	10x06	33.9466	-118.299	
BEA	10x07	33.9467	-118.288	
BEA	10x08	33.9467	-118.278	
BEA	10x09	33.9468	-118.267	
BEA	10x10	33.9468	-118.256	
BEA	10x11	33.9469	-118.245	
BEA	10x12	33.9469	-118.234	
BEA	10x13	33.9469	-118.223	
BEA	10x14	33.947	-118.213	
BEA	10x15	33.947	-118.202	
BEA	10x16	33.9471	-118.191	
BEA	10x17	33.9471	-118.18	
BEA	10x18	33.9471	-118.169	
BEA	10x19	33.9472	-118.158	
BEA	11x00	33.9553	-118.364	
BEA	11x01	33.9554	-118.353	
BEA	11x02	33.9554	-118.343	
BEA	11x03	33.9555	-118.332	
BEA	11x04	33.9555	-118.321	
BEA	11x05	33.9556	-118.31	
BEA	11x06	33.9556	-118.299	
BEA	11x07	33.9557	-118.288	
BEA	11x08	33.9557	-118.278	
BEA	11x09	33.9558	-118.267	
