NET	STA	CHA	LOC	STANAME	LAT	LON	ELEV	ONDATE	OFFDATE	EDEPTH	REALTIME
AZ	CSLB	HNZ	--	"Cal State Long Beach, Long Bea"	33.7793	-118.1126	17	1/1/03	1/1/00	0	
AZ	ELKS	HHE	--	"Elks Lodge, Riverside CO., CA,"	33.5813	-116.4496	1169	4/27/96	6/17/97	0	
AZ	ELKS	HHN	--	"Elks Lodge, Riverside CO., CA,"	33.5813	-116.4496	1169	4/27/96	6/17/97	0	
AZ	ELKS	HHZ	--	"Elks Lodge, Riverside CO., CA,"	33.5813	-116.4496	1169	4/27/96	6/17/97	0	
AZ	FRD	BHE	--	"Ford Ranch, Anza, CA, USA"	33.4947	-116.6022	1164	6/5/93	1/1/00	0	*realtime
AZ	FRD	BHN	--	"Ford Ranch, Anza, CA, USA"	33.4947	-116.6022	1164	6/5/93	1/1/00	0	*realtime
AZ	FRD	BHZ	--	"Ford Ranch, Anza, CA, USA"	33.4947	-116.6022	1164	3/7/93	1/1/00	0	*realtime
AZ	FRD	HHE	--	"Ford Ranch, Anza, CA, USA"	33.4947	-116.6022	1164	6/5/93	1/1/00	0	*realtime
AZ	FRD	HHN	--	"Ford Ranch, Anza, CA, USA"	33.4947	-116.6022	1164	6/5/93	1/1/00	0	*realtime
AZ	FRD	HHZ	--	"Ford Ranch, Anza, CA, USA"	33.4947	-116.6022	1164	12/15/92	1/1/00	0	*realtime
AZ	FRD	HLE	--	"Ford Ranch, Anza, CA, USA"	33.4947	-116.6022	1164	6/5/93	6/23/93	0	
AZ	FRD	HLN	--	"Ford Ranch, Anza, CA, USA"	33.4947	-116.6022	1164	6/5/93	6/23/93	0	
AZ	FRD	HLZ	--	"Ford Ranch, Anza, CA, USA"	33.4947	-116.6022	1164	3/7/93	6/23/93	0	
AZ	FRD	HNE	--	"Ford Ranch, Anza, CA, USA"	33.4947	-116.6022	1164	1/4/02	1/1/00	0	*realtime
AZ	FRD	HNN	--	"Ford Ranch, Anza, CA, USA"	33.4947	-116.6022	1164	1/4/02	1/1/00	0	*realtime
AZ	FRD	HNZ	--	"Ford Ranch, Anza, CA, USA"	33.4947	-116.6022	1164	1/4/02	1/1/00	0	*realtime
AZ	FRD	LHE	--	"Ford Ranch, Anza, CA, USA"	33.4947	-116.6022	1164	12/21/99	1/1/00	0	
AZ	FRD	LHN	--	"Ford Ranch, Anza, CA, USA"	33.4947	-116.6022	1164	12/21/99	1/1/00	0	
AZ	FRD	LHZ	--	"Ford Ranch, Anza, CA, USA"	33.4947	-116.6022	1164	12/21/99	1/1/00	0	
AZ	GLAC	HHE	--	"Glacier Pass, Riverside CO., C"	33.6014	-116.4781	1169	4/26/96	6/17/97	0	
AZ	GLAC	HHN	--	"Glacier Pass, Riverside CO., C"	33.6014	-116.4781	1169	4/26/96	6/17/97	0	
AZ	GLAC	HHZ	--	"Glacier Pass, Riverside CO., C"	33.6014	-116.4781	1169	4/26/96	6/17/97	0	
AZ	HWB	BHE	--	"Hans Werner Braun Residence, S"	33.0262	-116.9596	478	4/9/03	5/12/15	0	
AZ	HWB	BHN	--	"Hans Werner Braun Residence, S"	33.0262	-116.9596	478	4/9/03	5/12/15	0	
AZ	HWB	BHZ	--	"Hans Werner Braun Residence, S"	33.0262	-116.9596	478	4/9/03	5/12/15	0	
AZ	HWB	HGE	--	"Hans Werner Braun Residence, S"	33.0262	-116.9596	478	7/3/02	2/17/10	0	
AZ	HWB	HGN	--	"Hans Werner Braun Residence, S"	33.0262	-116.9596	478	7/3/02	2/17/10	0	
AZ	HWB	HGZ	--	"Hans Werner Braun Residence, S"	33.0262	-116.9596	478	7/3/02	2/17/10	0	
AZ	HWB	HHE	--	"Hans Werner Braun Residence, S"	33.0262	-116.9596	478	4/9/03	5/12/15	0	
