
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2020-08-05


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 9703873
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 11870, -, 1.0, -, 12.9, 21.8, 0.0, "9703873", 2001, "Hawthorne; FAA Bldg", 4.24, strike slip, 16.94, 18.04, 332.33, 0.2, 1.0, RSN11870_9703873_N5243360.AT2, RSN11870_9703873_N5243090.AT2 , RSN11870_9703873_N5243-UP.AT2  
2, SRSS, 11871, -, 1.0, -, 6.5, 12.8, 0.0, "9703873", 2001, "Los Angeles - Acosta Residence", 4.24, strike slip, 20.0, 21.15, 330.03, 0.175, 1.0, RSN11871_9703873_N5396180.AT2, RSN11871_9703873_N5396270.AT2 , RSN11871_9703873_N5396-UP.AT2  
3, SRSS, 11872, -, 1.0, -, 1.6, 4.2, 0.0, "9703873", 2001, "Beverly Hills Pac Bell Bsmt", 4.24, strike slip, 1.8, 6.48, 460.09, 0.15, 1.0, RSN11872_9703873_N5402360.AT2, RSN11872_9703873_N5402090.AT2 , RSN11872_9703873_N5402-UP.AT2  
4, SRSS, 11873, -, 1.0, -, 2.5, 6.4, 0.0, "9703873", 2001, "La Canada - Wald Residence", 4.24, strike slip, 25.3, 26.23, 399.8, 0.325, 1.0, RSN11873_9703873_N5408360.AT2, RSN11873_9703873_N5408090.AT2 , RSN11873_9703873_N5408-UP.AT2  
5, SRSS, 11874, -, 1.0, -, 1.1, 3.9, 0.0, "9703873", 2001, "Los Angeles; Mullholland Fire Station 109 Mullholland Dr (at Fwy 405); 1-story; ground level", 4.24, strike slip, 11.92, 13.45, 425.25, 0.375, 1.0, RSN11874_9703873_N5421360.AT2, RSN11874_9703873_N5421090.AT2 , RSN11874_9703873_N5421-UP.AT2  
6, SRSS, 11875, -, 1.0, -, 3.5, 7.2, 0.0, "9703873", 2001, "Van Nuys - Fire Station No. 39", 4.24, strike slip, 14.75, 16.01, 304.04, 0.2, 1.0, RSN11875_9703873_N5422360.AT2, RSN11875_9703873_N5422090.AT2 , RSN11875_9703873_N5422-UP.AT2  
7, SRSS, 11876, -, 1.0, -, 4.3, 13.9, 0.0, "9703873", 2001, "Sylmar - Fire Station #91", 4.24, strike slip, 28.14, 28.82, 398.94, 0.2375, 1.0, RSN11876_9703873_N5423220.AT2, RSN11876_9703873_N5423310.AT2 , RSN11876_9703873_N5423-UP.AT2  
8, SRSS, 11877, -, 1.0, -, 4.4, 17.6, 0.0, "9703873", 2001, "Reseda - Fire Station 100", 4.24, strike slip, 18.22, 19.25, 287.16, 0.2, 1.0, RSN11877_9703873_N5424180.AT2, RSN11877_9703873_N5424270.AT2 , RSN11877_9703873_N5424-UP.AT2  
9, SRSS, 11878, -, 1.0, -, 4.3, 12.2, 0.0, "9703873", 2001, "Tarzana - Fire Station No. 93", 4.24, strike slip, 18.96, 19.96, 332.51, 0.275, 1.0, RSN11878_9703873_N5427360.AT2, RSN11878_9703873_N5427090.AT2 , RSN11878_9703873_N5427-UP.AT2  
10, SRSS, 11879, -, 1.0, -, 6.3, 12.8, 0.0, "9703873", 2001, "Chatsworth; Fire Station 96 Marilla St; 1-story; ground level", 4.24, strike slip, 28.36, 29.03, 282.5, 0.2375, 1.0, RSN11879_9703873_N5428360.AT2, RSN11879_9703873_N5428090.AT2 , RSN11879_9703873_N5428-UP.AT2  
11, SRSS, 11880, -, 1.0, -, 10.5, 18.5, 0.0, "9703873", 2001, "Compton; Cressey Park Fire Station 3 Rosecrans Ave ;2-story;ground level", 4.24, strike slip, 20.91, 21.93, 334.78, 0.25, 1.0, RSN11880_9703873_N5429360.AT2, RSN11880_9703873_N5429090.AT2 , RSN11880_9703873_N5429-UP.AT2  
12, SRSS, 11881, -, 1.0, -, 4.0, 9.0, 0.0, "9703873", 2001, "Jensen Filter Plant Administrative Building", 4.24, strike slip, 29.57, 30.22, 373.07, 0.25, 1.0, RSN11881_9703873_NS655022.AT2, RSN11881_9703873_NS655112.AT2 , RSN11881_9703873_NS655-UP.AT2  
13, SRSS, 11882, -, 1.0, -, 0.4, 2.1, 0.0, "9703873", 2001, "Los Angeles; Sepulveda Canyon", 4.24, strike slip, 8.8, 10.77, 681.24, 0.2625, 1.0, RSN11882_9703873_NS757256.AT2, RSN11882_9703873_NS757166.AT2 , RSN11882_9703873_NS757-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-11870 SRSS pSa (g),RSN-11871 SRSS pSa (g),RSN-11872 SRSS pSa (g),RSN-11873 SRSS pSa (g),RSN-11874 SRSS pSa (g),RSN-11875 SRSS pSa (g),RSN-11876 SRSS pSa (g),RSN-11877 SRSS pSa (g),RSN-11878 SRSS pSa (g),RSN-11879 SRSS pSa (g),RSN-11880 SRSS pSa (g),RSN-11881 SRSS pSa (g),RSN-11882 SRSS pSa (g)
0.85,0.01442099,0.05171749,0.00402117,0.00793964,0.01214865,0.07644594,0.00228048,0.00751454,0.02052336,0.00918384,0.01251692,0.00772377,0.00365737,0.0072832,0.00883452,0.0114206
0.9,0.01319887,0.04532341,0.00384371,0.0071001,0.01090553,0.06689203,0.00173965,0.00691089,0.02326049,0.00824136,0.01207791,0.00619084,0.00321533,0.00759587,0.00741942,0.01003588
0.95,0.0114318,0.03921166,0.00333284,0.00547229,0.0094081,0.05764989,0.00133474,0.0062841,0.02121665,0.00743815,0.00913932,0.00543083,0.00290253,0.00714018,0.00629855,0.00889813
1.0,0.00987617,0.03339922,0.00292039,0.00483146,0.00871371,0.04962486,0.00127467,0.0056144,0.01702215,0.0067493,0.00710888,0.00469108,0.00230945,0.0069173,0.00559812,0.00793482
1.1,0.00789233,0.02540598,0.00245174,0.00466104,0.00765158,0.03812444,0.00105332,0.00444939,0.01386994,0.0055693,0.00577555,0.00342927,0.00171284,0.0054313,0.00448373,0.00638854
1.2,0.0065277,0.02179735,0.00195487,0.00463276,0.00628927,0.0327418,0.0008726,0.00356118,0.01007854,0.0045896,0.00435827,0.00290684,0.00150569,0.00444791,0.00364833,0.00522735
1.3,0.00553709,0.01784268,0.00171832,0.00450567,0.00465252,0.02658726,0.00076608,0.00285226,0.01055745,0.00379916,0.00364524,0.00273239,0.00129079,0.00318254,0.0030576,0.00435322
1.4,0.00459616,0.01550982,0.00136202,0.00357141,0.00353942,0.02279365,0.00068367,0.00231842,0.00898475,0.00318607,0.00265487,0.00233625,0.00117889,0.00224277,0.00250251,0.00375737
1.5,0.0040114,0.01318781,0.00122017,0.00334748,0.00296447,0.01954596,0.00060232,0.00204432,0.00775599,0.00270365,0.00220477,0.00211483,0.00110836,0.00204245,0.00241414,0.00329947
1.6,0.00361157,0.01131533,0.00115272,0.00316402,0.00263441,0.01681949,0.000527,0.00178374,0.00741168,0.00231384,0.002244,0.00190085,0.00099767,0.00201178,0.00224915,0.00289281
1.7,0.00310973,0.00973958,0.0009929,0.00295558,0.00205358,0.01443907,0.00046002,0.00153088,0.0064106,0.00199168,0.00192819,0.00172544,0.00069956,0.00167407,0.00201311,0.00254476
1.8,0.00266949,0.00836559,0.00085184,0.00232221,0.00170075,0.01239665,0.00039894,0.00130706,0.00554676,0.00172337,0.00171339,0.00150754,0.00059509,0.00144589,0.00179286,0.00225282
1.9,0.00229458,0.00713912,0.0007375,0.00171939,0.00148198,0.01063939,0.00035929,0.0011201,0.00466392,0.00161292,0.0016435,0.00125814,0.00050889,0.00136002,0.0014529,0.00200915
2.0,0.00195501,0.0060684,0.00062983,0.00138093,0.00131596,0.00918742,0.00032812,0.00098854,0.0035104,0.00145432,0.00153455,0.00101766,0.0004517,0.00109176,0.00134713,0.00180659
2.2,0.00151627,0.00473931,0.00048511,0.00109623,0.00104362,0.00724523,0.00028296,0.00079356,0.00235906,0.00121,0.00115547,0.00073306,0.00034568,0.00112232,0.00082333,0.00150097
2.4,0.00122385,0.00380927,0.0003932,0.00108696,0.00078305,0.00587061,0.00025021,0.00065555,0.00168273,0.00094664,0.00083471,0.00059692,0.00031513,0.00092271,0.00069806,0.00126683
2.5,0.00112738,0.0035529,0.00035773,0.00100085,0.00071476,0.00545064,0.00023334,0.00060718,0.00160012,0.0007605,0.00077122,0.00053778,0.00029231,0.00086256,0.0006562,0.00116853
2.6,0.0010466,0.00331352,0.00033058,0.00098026,0.00066437,0.00506724,0.0002158,0.00056586,0.00151622,0.00069133,0.00070226,0.00049247,0.00025562,0.00078164,0.00059245,0.00108034
2.8,0.00088543,0.00290034,0.00027031,0.0007333,0.00057811,0.00439766,0.00018431,0.00049445,0.00129936,0.00057839,0.00058748,0.00040533,0.00022736,0.00057598,0.00051849,0.00093043
3.0,0.00076261,0.00254835,0.00022822,0.00069724,0.0005197,0.00384086,0.00015937,0.00043538,0.00109758,0.000491,0.00045454,0.0003413,0.00019801,0.00043713,0.00043198,0.00080983
3.2,0.00066974,0.00223571,0.00020063,0.000614,0.0004507,0.00337762,0.00013943,0.0003856,0.00092453,0.00042195,0.00040758,0.00029438,0.00017117,0.00038694,0.00042239,0.00071032
3.4,0.00060335,0.00196591,0.00018517,0.00063448,0.00039898,0.00298605,0.00012343,0.00034216,0.0008265,0.00036593,0.00037199,0.00026222,0.00014917,0.00036717,0.0003894,0.00062607
3.5,0.00057008,0.00185232,0.00017545,0.00061251,0.00037576,0.00281357,0.00011654,0.00032217,0.00078587,0.00034163,0.00035159,0.00024915,0.00013899,0.00033805,0.00037645,0.00058875
3.6,0.00053742,0.00174855,0.00016518,0.00056512,0.00035444,0.00265488,0.00011023,0.00030316,0.00074709,0.0003243,0.0003346,0.00023523,0.00012956,0.00030834,0.00036511,0.0005544
3.8,0.00047478,0.00157027,0.00014355,0.0004392,0.00031717,0.00237338,9.903e-05,0.00026804,0.00068488,0.00029697,0.00030797,0.00021573,0.00011299,0.00025562,0.00030727,0.0004939
4.0,0.00041801,0.00142346,0.00012275,0.00032686,0.00028617,0.00213239,8.934e-05,0.00023698,0.00061942,0.0002575,0.00028103,0.00019818,9.979e-05,0.00021902,0.00024445,0.00044303
4.2,0.00037439,0.00128805,0.00010882,0.00027992,0.00026017,0.00192545,8.087e-05,0.0002101,0.0005447,0.00022434,0.00025669,0.00018264,8.817e-05,0.00019685,0.00021711,0.00040001
4.4,0.00033465,0.00117268,9.55e-05,0.00023088,0.00023807,0.00174611,7.343e-05,0.0001872,0.00046719,0.00019648,0.00023418,0.00016876,7.781e-05,0.00017221,0.00019493,0.00036317
4.6,0.0003036,0.00106793,8.631e-05,0.00021039,0.00021908,0.00158914,6.687e-05,0.00016787,0.0004147,0.00017842,0.0002172,0.00015608,6.876e-05,0.00015051,0.00017667,0.00033117
4.8,0.00027693,0.00097641,7.855e-05,0.00018352,0.00020256,0.00145172,6.108e-05,0.00015155,0.00037766,0.00016258,0.00020134,0.00014432,6.104e-05,0.00013748,0.00016225,0.00030305
5.0,0.00025453,0.00089514,7.237e-05,0.00016722,0.00018797,0.00133143,5.597e-05,0.00013769,0.00034947,0.00014867,0.00018662,0.00013339,5.504e-05,0.00012537,0.00015188,0.00027815
5.5,0.00021081,0.00073196,6.071e-05,0.00013839,0.0001574,0.00108797,4.554e-05,0.00011087,0.00031797,0.00012079,0.00015443,0.0001099,4.523e-05,9.909e-05,0.00012574,0.00022715
6.0,0.00017785,0.00060704,5.211e-05,0.00013823,0.00013237,0.0009054,3.768e-05,9.147e-05,0.00027458,0.00010029,0.00012806,9.192e-05,3.859e-05,7.974e-05,0.00010516,0.00018859
6.5,0.00015015,0.00051291,4.396e-05,0.00011799,0.00011157,0.00076518,3.167e-05,7.73e-05,0.00023012,8.486e-05,0.00010678,7.827e-05,3.321e-05,6.6e-05,8.99e-05,0.00015912
7.0,0.00012717,0.00044001,3.675e-05,9.041e-05,9.463e-05,0.00065475,2.698e-05,6.648e-05,0.00019172,7.292e-05,8.988e-05,6.75e-05,2.848e-05,5.593e-05,7.727e-05,0.00013622
7.5,0.00010908,0.00038198,3.115e-05,7.253e-05,8.112e-05,0.00056716,2.327e-05,5.775e-05,0.00015992,6.344e-05,7.656e-05,5.865e-05,2.448e-05,4.819e-05,6.683e-05,0.0001181
8.0,9.447e-05,0.00033515,2.663e-05,5.801e-05,7.04e-05,0.00049621,2.03e-05,5.058e-05,0.00013459,5.576e-05,6.605e-05,5.122e-05,2.122e-05,4.199e-05,5.824e-05,0.00010348
8.5,8.304e-05,0.00029528,2.336e-05,5.27e-05,6.204e-05,0.00043743,1.787e-05,4.463e-05,0.0001147,4.942e-05,5.765e-05,4.494e-05,1.861e-05,3.691e-05,5.118e-05,9.15e-05
9.0,7.363e-05,0.00026199,2.069e-05,4.839e-05,5.513e-05,0.00038838,1.587e-05,3.965e-05,9.906e-05,4.412e-05,5.084e-05,3.962e-05,1.65e-05,3.268e-05,4.535e-05,8.154e-05
9.5,6.574e-05,0.00023434,1.844e-05,4.415e-05,4.929e-05,0.00034744,1.419e-05,3.545e-05,8.663e-05,3.962e-05,4.523e-05,3.513e-05,1.475e-05,2.915e-05,4.049e-05,7.314e-05
10.0,5.91e-05,0.00021118,1.654e-05,4.006e-05,4.433e-05,0.000313,1.277e-05,3.188e-05,7.661e-05,3.578e-05,4.054e-05,3.132e-05,1.327e-05,2.633e-05,3.641e-05,6.6e-05
11.0,4.853e-05,0.00017425,1.352e-05,3.282e-05,3.651e-05,0.000258,1.051e-05,2.619e-05,6.156e-05,2.96e-05,3.316e-05,2.534e-05,1.092e-05,2.175e-05,2.997e-05,5.455e-05
12.0,4.051e-05,0.0001455,1.128e-05,2.708e-05,3.063e-05,0.00021546,8.81e-06,2.192e-05,5.087e-05,2.488e-05,2.763e-05,2.097e-05,9.13e-06,1.828e-05,2.513e-05,4.585e-05
13.0,3.429e-05,0.00012271,9.58e-06,2.268e-05,2.602e-05,0.00018194,7.49e-06,1.863e-05,4.291e-05,2.124e-05,2.337e-05,1.768e-05,7.79e-06,1.558e-05,2.14e-05,3.909e-05
14.0,2.941e-05,0.00010481,8.25e-06,1.93e-05,2.235e-05,0.00015559,6.45e-06,1.604e-05,3.677e-05,1.833e-05,2.001e-05,1.514e-05,6.72e-06,1.343e-05,1.844e-05,3.372e-05
15.0,2.552e-05,9.077e-05,7.18e-06,1.665e-05,1.938e-05,0.00013484,5.61e-06,1.396e-05,3.191e-05,1.598e-05,1.732e-05,1.314e-05,5.85e-06,1.169e-05,1.605e-05,2.939e-05
20.0,1.43e-05,5.139e-05,3.98e-06,9.15e-06,1.067e-05,7.608e-05,3.14e-06,7.86e-06,1.783e-05,9.0e-06,9.46e-06,7.4e-06,3.27e-06,6.51e-06,8.99e-06,1.657e-05

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-11870 Horizontal-1 pSa (g),RSN-11870 Horizontal-2 pSa (g),RSN-11870 Vertical pSa (g),RSN-11871 Horizontal-1 pSa (g),RSN-11871 Horizontal-2 pSa (g),RSN-11871 Vertical pSa (g),RSN-11872 Horizontal-1 pSa (g),RSN-11872 Horizontal-2 pSa (g),RSN-11872 Vertical pSa (g),RSN-11873 Horizontal-1 pSa (g),RSN-11873 Horizontal-2 pSa (g),RSN-11873 Vertical pSa (g),RSN-11874 Horizontal-1 pSa (g),RSN-11874 Horizontal-2 pSa (g),RSN-11874 Vertical pSa (g),RSN-11875 Horizontal-1 pSa (g),RSN-11875 Horizontal-2 pSa (g),RSN-11875 Vertical pSa (g),RSN-11876 Horizontal-1 pSa (g),RSN-11876 Horizontal-2 pSa (g),RSN-11876 Vertical pSa (g),RSN-11877 Horizontal-1 pSa (g),RSN-11877 Horizontal-2 pSa (g),RSN-11877 Vertical pSa (g),RSN-11878 Horizontal-1 pSa (g),RSN-11878 Horizontal-2 pSa (g),RSN-11878 Vertical pSa (g),RSN-11879 Horizontal-1 pSa (g),RSN-11879 Horizontal-2 pSa (g),RSN-11879 Vertical pSa (g),RSN-11880 Horizontal-1 pSa (g),RSN-11880 Horizontal-2 pSa (g),RSN-11880 Vertical pSa (g),RSN-11881 Horizontal-1 pSa (g),RSN-11881 Horizontal-2 pSa (g),RSN-11881 Vertical pSa (g),RSN-11882 Horizontal-1 pSa (g),RSN-11882 Horizontal-2 pSa (g),RSN-11882 Vertical pSa (g)
0.01,0.00641588,0.00716999,0.00334,0.01868902,0.01972027,0.00976,0.08070986,0.08468833,0.0462,0.02802364,0.02172043,0.00976,0.03199707,0.02832128,0.0205,0.04029963,0.03442081,0.0243,0.0215799,0.02321187,0.00501,0.02112051,0.01933336,0.0112,0.01529815,0.02422859,0.0172,0.00962636,0.00796953,0.0059,0.01453405,0.01158808,0.00956,0.02022389,0.01771818,0.00825,0.07661526,0.0442305,0.0214
0.02,0.00663203,0.00727171,0.00357,0.01910265,0.02029649,0.0102,0.08011951,0.08378988,0.0469,0.02917627,0.0226887,0.01,0.03270551,0.02890649,0.0224,0.04137765,0.03484588,0.0257,0.02174112,0.02326073,0.00506,0.02156252,0.01937448,0.0127,0.01550522,0.02497091,0.0177,0.0097918,0.00811783,0.00614,0.01477338,0.01182221,0.00983,0.02043908,0.0179594,0.00861,0.07776235,0.04480417,0.0218
0.022,0.0067035,0.00734316,0.00368,0.01914608,0.02015926,0.00998,0.08018397,0.08415785,0.0472,0.02959768,0.02311014,0.0102,0.03299955,0.028664,0.0225,0.04183762,0.03494063,0.0261,0.02170756,0.02326825,0.00503,0.02149695,0.01959067,0.0132,0.01550095,0.0251759,0.0185,0.00985602,0.00816212,0.00629,0.0148163,0.01193414,0.00987,0.02046592,0.01800404,0.00872,0.07742208,0.0452147,0.0221
0.025,0.00707294,0.00748073,0.00381,0.01942271,0.02131375,0.0105,0.08021156,0.08462564,0.048,0.03067815,0.02332048,0.0109,0.033653,0.02843965,0.0233,0.04270174,0.03581493,0.0267,0.02181714,0.02332832,0.00509,0.02138413,0.0196427,0.0136,0.01590687,0.02558453,0.0193,0.00992621,0.00810484,0.00682,0.0148502,0.01199198,0.00993,0.02052917,0.01806447,0.00886,0.07782834,0.04526593,0.022
0.029,0.00728248,0.00757285,0.00515,0.01987066,0.02205296,0.0106,0.08172316,0.08546244,0.0519,0.03184088,0.02371356,0.0125,0.03514817,0.02995409,0.0263,0.04467534,0.03834393,0.0313,0.02192207,0.02352275,0.00515,0.02192027,0.01964432,0.0145,0.01650166,0.02647781,0.0258,0.01007529,0.00828976,0.00712,0.01526297,0.01221201,0.0102,0.02058158,0.01832172,0.00918,0.07798024,0.04639345,0.0223
0.03,0.00753559,0.00764898,0.00517,0.02021652,0.02205613,0.0105,0.08196617,0.08573405,0.0513,0.03249772,0.02422736,0.0148,0.03531396,0.0303071,0.0273,0.04544703,0.03823675,0.0308,0.02194597,0.02354701,0.00506,0.02216417,0.01963989,0.0158,0.01640203,0.02658818,0.0283,0.01010866,0.00831264,0.00719,0.0153904,0.01221684,0.0103,0.02060705,0.01836249,0.00919,0.07829534,0.04631498,0.0222
0.032,0.00799403,0.00758406,0.00573,0.02067944,0.02301595,0.0107,0.08249347,0.08620657,0.0492,0.03356408,0.0255256,0.015,0.03499911,0.03095468,0.0279,0.04621622,0.03709789,0.0346,0.02201297,0.02358319,0.00501,0.02266254,0.01948327,0.0183,0.01676646,0.02702639,0.0301,0.01018085,0.00831643,0.00734,0.01540977,0.01230463,0.0105,0.02075102,0.01849883,0.00922,0.07826003,0.04614641,0.0223
0.035,0.00865962,0.00775565,0.0074,0.02046443,0.02600882,0.0109,0.08565098,0.08846167,0.0523,0.03431131,0.02659497,0.0147,0.0370787,0.03246485,0.0319,0.04675056,0.03738035,0.0414,0.02217024,0.02361394,0.00561,0.02214151,0.01991501,0.0187,0.01736358,0.02759937,0.0348,0.0103198,0.00835942,0.00785,0.01532467,0.01302975,0.0104,0.0209494,0.01858428,0.00957,0.07927269,0.04731555,0.0239
0.036,0.0084824,0.00802123,0.00692,0.0207179,0.02655557,0.0111,0.08648634,0.0902052,0.0552,0.03434357,0.0273264,0.0148,0.03761809,0.03289213,0.0337,0.04760161,0.03665451,0.0416,0.02219949,0.02369965,0.00566,0.02181007,0.02006922,0.0191,0.01760222,0.02789647,0.0373,0.01042974,0.00840617,0.00791,0.01539501,0.01321526,0.0107,0.02100528,0.01873281,0.00976,0.07974529,0.04798041,0.0247
0.04,0.00827747,0.00839672,0.00715,0.02163423,0.02813935,0.0123,0.09157099,0.09141036,0.0613,0.03661872,0.03095659,0.0202,0.03510759,0.03388096,0.0341,0.04993246,0.03850609,0.0519,0.02221888,0.02372586,0.00583,0.02199372,0.02001133,0.0202,0.0183043,0.02563234,0.0423,0.0104674,0.00869002,0.00943,0.01610178,0.01461992,0.0115,0.0210436,0.01900614,0.0105,0.08263702,0.05111018,0.0268
0.042,0.00798727,0.00929139,0.0062,0.02128383,0.0300173,0.0122,0.08976667,0.09225933,0.0589,0.0368787,0.03108954,0.0193,0.03350173,0.03344686,0.0304,0.05108668,0.0398709,0.0532,0.0223532,0.0237939,0.0066,0.02221056,0.0195226,0.0201,0.01857444,0.02643193,0.0429,0.01057158,0.00841259,0.0105,0.01594473,0.01507084,0.011,0.02128465,0.0192106,0.0112,0.08308966,0.05077033,0.0266
0.044,0.00889287,0.00963726,0.00676,0.02207396,0.03308574,0.0122,0.0874512,0.09550369,0.0528,0.03739079,0.03128652,0.0199,0.03533418,0.03263902,0.0289,0.05541852,0.04400938,0.0566,0.02250509,0.02387458,0.00739,0.02316731,0.02049383,0.0185,0.01947992,0.0285491,0.0378,0.01083763,0.00822088,0.0123,0.01591378,0.01520965,0.00957,0.02149437,0.01941766,0.012,0.08364929,0.04961827,0.0258
0.045,0.0090458,0.0097784,0.00712,0.02287777,0.03529677,0.0123,0.09384057,0.09778505,0.0555,0.0392352,0.03124375,0.0197,0.03606514,0.0317763,0.0292,0.05765104,0.04469335,0.0618,0.02250704,0.02391576,0.00752,0.02366488,0.02094031,0.0187,0.02027676,0.0294804,0.0356,0.01108873,0.00844043,0.0131,0.01606845,0.01528749,0.0099,0.02160037,0.01955351,0.0124,0.08384323,0.04894862,0.0245
0.046,0.00917493,0.00954752,0.00815,0.0233143,0.0371072,0.0124,0.09501931,0.09974631,0.0578,0.04164805,0.03159317,0.0208,0.03656837,0.03102431,0.0295,0.05789678,0.04434194,0.0676,0.02249235,0.02394834,0.00763,0.02380792,0.02124696,0.0183,0.02099554,0.03043276,0.0331,0.01133245,0.00858235,0.0139,0.01595297,0.0156875,0.0107,0.02172744,0.01967697,0.0128,0.08338478,0.04859256,0.0231
0.048,0.01007186,0.01078305,0.00902,0.02204755,0.0385618,0.013,0.09654447,0.1021428,0.0617,0.0459438,0.03484251,0.0237,0.03784144,0.0299711,0.029,0.05492498,0.04658575,0.0726,0.02258414,0.0239074,0.00802,0.02375151,0.02162815,0.0189,0.02129769,0.03247859,0.0349,0.01158876,0.008729,0.0146,0.01584684,0.01706981,0.0123,0.02195883,0.02002025,0.014,0.08405551,0.04966742,0.0239
0.05,0.01134013,0.01215998,0.00785,0.02286085,0.03522348,0.0147,0.1035188,0.104773,0.0629,0.04858457,0.03776943,0.0256,0.03926921,0.03068151,0.0303,0.05360496,0.04855384,0.0705,0.02240641,0.02401012,0.00855,0.0237286,0.02216154,0.0162,0.02161901,0.03369833,0.0342,0.01180585,0.00901067,0.0146,0.01603754,0.01800922,0.0138,0.0221139,0.02027879,0.0143,0.08751246,0.05078408,0.0254
0.055,0.01192988,0.01261791,0.00764,0.02401161,0.03786799,0.0159,0.1063683,0.105708,0.0651,0.05234857,0.03893838,0.0335,0.0423412,0.03459771,0.0404,0.05261369,0.05372745,0.0805,0.02339121,0.02492244,0.0083,0.02685624,0.02432081,0.0181,0.02403774,0.03649291,0.0384,0.01246516,0.01051671,0.0151,0.01509249,0.01616991,0.0143,0.02253706,0.02140366,0.0181,0.0951715,0.05355475,0.0293
0.06,0.01380818,0.01246644,0.00769,0.03209261,0.04297339,0.019,0.09948497,0.119602,0.0618,0.0591885,0.04371681,0.0279,0.03874922,0.03684095,0.0489,0.05056658,0.05530366,0.0861,0.02509636,0.0257546,0.00951,0.02366127,0.02585989,0.0185,0.02691962,0.04146427,0.0477,0.01278518,0.01057366,0.0165,0.0164774,0.01589009,0.0131,0.02359959,0.02245304,0.0253,0.09459081,0.05646182,0.0311
0.065,0.01327168,0.01886097,0.00918,0.03563412,0.05006167,0.0199,0.1035472,0.1406078,0.065,0.06803598,0.05235645,0.0343,0.03995976,0.04344064,0.0413,0.05628438,0.06753572,0.0579,0.02615711,0.02590189,0.00948,0.02680812,0.02605747,0.0217,0.03224848,0.04207765,0.0614,0.0129096,0.01241875,0.0176,0.01954778,0.01483223,0.0165,0.02541794,0.02484049,0.0248,0.09060227,0.05744318,0.0433
0.067,0.01439762,0.02075449,0.00931,0.03929511,0.05034762,0.0193,0.1063167,0.1398439,0.076,0.07043226,0.05701166,0.0394,0.04120504,0.04621419,0.0378,0.06183733,0.07400385,0.0574,0.02628008,0.02604392,0.00996,0.02875813,0.0253408,0.022,0.03301053,0.04293483,0.062,0.0131494,0.01290715,0.018,0.02007075,0.0170497,0.0169,0.02576855,0.02576641,0.0265,0.08541691,0.05741716,0.0468
0.07,0.01606473,0.02262372,0.00864,0.04228721,0.05025111,0.0218,0.1156672,0.1334865,0.0865,0.07327982,0.061293,0.0385,0.04304176,0.04917036,0.0352,0.06110918,0.0798253,0.056,0.02600412,0.02565221,0.0123,0.03038046,0.02526984,0.0235,0.03592197,0.04586761,0.0553,0.01333505,0.01319738,0.0185,0.02053174,0.02113256,0.0181,0.02610234,0.02701069,0.0311,0.09032123,0.05414727,0.05
0.075,0.01690432,0.02187048,0.00733,0.03988194,0.04931582,0.0243,0.1359544,0.1223216,0.094,0.09418495,0.05138335,0.0361,0.04422251,0.05055148,0.037,0.05992723,0.08548778,0.0532,0.02860007,0.02539073,0.0128,0.03334293,0.03175323,0.0278,0.047119,0.0427776,0.066,0.01549651,0.01293775,0.0188,0.02018222,0.02474626,0.0187,0.0265461,0.02845118,0.0355,0.1093307,0.05692748,0.0551
