
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2020-08-05


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 9703873
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 11870, -, 1.0, -, 12.9, 21.8, 0.0, "9703873", 2001, "Hawthorne; FAA Bldg", 4.24, strike slip, 16.94, 18.04, 332.33, 0.2, 1.0, RSN11870_9703873_N5243360.AT2, RSN11870_9703873_N5243090.AT2 , RSN11870_9703873_N5243-UP.AT2  
2, SRSS, 11871, -, 1.0, -, 6.5, 12.8, 0.0, "9703873", 2001, "Los Angeles - Acosta Residence", 4.24, strike slip, 20.0, 21.15, 330.03, 0.175, 1.0, RSN11871_9703873_N5396180.AT2, RSN11871_9703873_N5396270.AT2 , RSN11871_9703873_N5396-UP.AT2  
3, SRSS, 11872, -, 1.0, -, 1.6, 4.2, 0.0, "9703873", 2001, "Beverly Hills Pac Bell Bsmt", 4.24, strike slip, 1.8, 6.48, 460.09, 0.15, 1.0, RSN11872_9703873_N5402360.AT2, RSN11872_9703873_N5402090.AT2 , RSN11872_9703873_N5402-UP.AT2  
4, SRSS, 11873, -, 1.0, -, 2.5, 6.4, 0.0, "9703873", 2001, "La Canada - Wald Residence", 4.24, strike slip, 25.3, 26.23, 399.8, 0.325, 1.0, RSN11873_9703873_N5408360.AT2, RSN11873_9703873_N5408090.AT2 , RSN11873_9703873_N5408-UP.AT2  
5, SRSS, 11874, -, 1.0, -, 1.1, 3.9, 0.0, "9703873", 2001, "Los Angeles; Mullholland Fire Station 109 Mullholland Dr (at Fwy 405); 1-story; ground level", 4.24, strike slip, 11.92, 13.45, 425.25, 0.375, 1.0, RSN11874_9703873_N5421360.AT2, RSN11874_9703873_N5421090.AT2 , RSN11874_9703873_N5421-UP.AT2  
6, SRSS, 11875, -, 1.0, -, 3.5, 7.2, 0.0, "9703873", 2001, "Van Nuys - Fire Station No. 39", 4.24, strike slip, 14.75, 16.01, 304.04, 0.2, 1.0, RSN11875_9703873_N5422360.AT2, RSN11875_9703873_N5422090.AT2 , RSN11875_9703873_N5422-UP.AT2  
7, SRSS, 11876, -, 1.0, -, 4.3, 13.9, 0.0, "9703873", 2001, "Sylmar - Fire Station #91", 4.24, strike slip, 28.14, 28.82, 398.94, 0.2375, 1.0, RSN11876_9703873_N5423220.AT2, RSN11876_9703873_N5423310.AT2 , RSN11876_9703873_N5423-UP.AT2  
8, SRSS, 11877, -, 1.0, -, 4.4, 17.6, 0.0, "9703873", 2001, "Reseda - Fire Station 100", 4.24, strike slip, 18.22, 19.25, 287.16, 0.2, 1.0, RSN11877_9703873_N5424180.AT2, RSN11877_9703873_N5424270.AT2 , RSN11877_9703873_N5424-UP.AT2  
9, SRSS, 11878, -, 1.0, -, 4.3, 12.2, 0.0, "9703873", 2001, "Tarzana - Fire Station No. 93", 4.24, strike slip, 18.96, 19.96, 332.51, 0.275, 1.0, RSN11878_9703873_N5427360.AT2, RSN11878_9703873_N5427090.AT2 , RSN11878_9703873_N5427-UP.AT2  
10, SRSS, 11879, -, 1.0, -, 6.3, 12.8, 0.0, "9703873", 2001, "Chatsworth; Fire Station 96 Marilla St; 1-story; ground level", 4.24, strike slip, 28.36, 29.03, 282.5, 0.2375, 1.0, RSN11879_9703873_N5428360.AT2, RSN11879_9703873_N5428090.AT2 , RSN11879_9703873_N5428-UP.AT2  
11, SRSS, 11880, -, 1.0, -, 10.5, 18.5, 0.0, "9703873", 2001, "Compton; Cressey Park Fire Station 3 Rosecrans Ave ;2-story;ground level", 4.24, strike slip, 20.91, 21.93, 334.78, 0.25, 1.0, RSN11880_9703873_N5429360.AT2, RSN11880_9703873_N5429090.AT2 , RSN11880_9703873_N5429-UP.AT2  
12, SRSS, 11881, -, 1.0, -, 4.0, 9.0, 0.0, "9703873", 2001, "Jensen Filter Plant Administrative Building", 4.24, strike slip, 29.57, 30.22, 373.07, 0.25, 1.0, RSN11881_9703873_NS655022.AT2, RSN11881_9703873_NS655112.AT2 , RSN11881_9703873_NS655-UP.AT2  
13, SRSS, 11882, -, 1.0, -, 0.4, 2.1, 0.0, "9703873", 2001, "Los Angeles; Sepulveda Canyon", 4.24, strike slip, 8.8, 10.77, 681.24, 0.2625, 1.0, RSN11882_9703873_NS757256.AT2, RSN11882_9703873_NS757166.AT2 , RSN11882_9703873_NS757-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-11870 SRSS pSa (g),RSN-11871 SRSS pSa (g),RSN-11872 SRSS pSa (g),RSN-11873 SRSS pSa (g),RSN-11874 SRSS pSa (g),RSN-11875 SRSS pSa (g),RSN-11876 SRSS pSa (g),RSN-11877 SRSS pSa (g),RSN-11878 SRSS pSa (g),RSN-11879 SRSS pSa (g),RSN-11880 SRSS pSa (g),RSN-11881 SRSS pSa (g),RSN-11882 SRSS pSa (g)
0.15,0.09278485,0.16212772,0.05310028,0.02378266,0.07812698,0.18180817,0.08354293,0.1471091,0.12162998,0.07736655,0.06498189,0.06828056,0.03933086,0.04589624,0.07600981,0.19833727
0.16,0.0913507,0.15939418,0.05235418,0.02332875,0.06533302,0.18677863,0.09171583,0.12596213,0.11793314,0.0706294,0.07427795,0.07497301,0.03620844,0.05053152,0.07246944,0.1974179
0.17,0.08826441,0.15347008,0.05076303,0.02205901,0.07339624,0.19292855,0.09037499,0.09651574,0.11212349,0.06384603,0.07429369,0.0745314,0.03717848,0.04771081,0.07710129,0.1853776
0.18,0.08357334,0.14740167,0.04738415,0.01920493,0.08438747,0.18950288,0.08045365,0.07197453,0.10287589,0.05962795,0.07354559,0.07803347,0.03317962,0.04427161,0.0737931,0.17560273
0.19,0.08042347,0.14296251,0.04524217,0.01876815,0.09037871,0.18611181,0.07017098,0.06302984,0.09776995,0.06235931,0.07593425,0.07898812,0.02884835,0.0430869,0.06379469,0.16626404
0.2,0.07773552,0.14182868,0.04260641,0.01951616,0.09313915,0.189681,0.0576494,0.05802213,0.09215656,0.06621008,0.07010795,0.07554459,0.02807363,0.04072618,0.05913079,0.16060416
0.22,0.07670402,0.14757211,0.03986869,0.02130374,0.08870534,0.19241628,0.04957865,0.05833752,0.08852968,0.06901352,0.05924817,0.06956447,0.02437607,0.03735178,0.06194571,0.17678131
0.24,0.07606078,0.15059605,0.03841563,0.01989982,0.08390278,0.19605866,0.03903034,0.07042377,0.08578789,0.06887993,0.06477913,0.05935103,0.02264219,0.033997,0.06425699,0.17978066
0.25,0.0753399,0.15023069,0.03778257,0.02103621,0.06906022,0.19429806,0.0376659,0.06866098,0.09474517,0.06824596,0.06767616,0.05465806,0.02193535,0.0337068,0.06757897,0.18015089
0.26,0.0739454,0.14948393,0.03657866,0.02328878,0.06221826,0.19470083,0.03527439,0.06290359,0.09748387,0.06751611,0.06778686,0.0483495,0.02436586,0.03085703,0.06921864,0.17732642
0.28,0.06998209,0.14785283,0.03312411,0.02237128,0.06185502,0.19498754,0.03004369,0.04872132,0.09691234,0.0650401,0.06406895,0.0348115,0.0230113,0.02589946,0.07501999,0.16702471
0.29,0.0681838,0.1488608,0.03123072,0.02246645,0.05654012,0.19840056,0.02806177,0.04573292,0.09432075,0.06334139,0.06244392,0.02977278,0.02099571,0.02585507,0.07392145,0.1645365
0.3,0.06666855,0.14903907,0.02982235,0.02114581,0.05303222,0.1969549,0.02606826,0.04416393,0.09586328,0.06151129,0.06206428,0.02601222,0.01863143,0.02509346,0.07261772,0.16353236
0.32,0.06373283,0.13871003,0.0292832,0.02209251,0.05656022,0.18275899,0.02147329,0.04465443,0.09115905,0.05792921,0.05731909,0.02454717,0.01924381,0.02834264,0.06804656,0.15439983
0.34,0.05764861,0.11884704,0.02796336,0.021425,0.04808663,0.15423135,0.02074444,0.04309804,0.08475444,0.05439059,0.04903925,0.0248626,0.0209776,0.03120589,0.05917311,0.13744298
0.35,0.05444707,0.10907613,0.02717812,0.02217257,0.04177985,0.13916191,0.01941177,0.0425774,0.08040359,0.05249385,0.04444457,0.02478202,0.02141012,0.03386153,0.055472,0.12984077
0.36,0.05300239,0.10458988,0.0268597,0.02299434,0.0408677,0.13548363,0.01760841,0.04222206,0.07720077,0.05052745,0.04269761,0.02548037,0.02157798,0.03708647,0.05188763,0.1233966
0.38,0.05047066,0.09685756,0.02629932,0.02361082,0.04543155,0.12957745,0.01499291,0.04018518,0.06890211,0.04766998,0.03878902,0.02578549,0.02338856,0.03882783,0.04741499,0.11154272
0.4,0.04798784,0.09022273,0.02552387,0.02434689,0.04314233,0.12395859,0.01252895,0.0339931,0.0670544,0.04568739,0.03601014,0.02974539,0.02244515,0.04223969,0.04392675,0.09876318
0.42,0.04562415,0.08578444,0.02426505,0.02502147,0.03720574,0.11932765,0.01107438,0.02909078,0.07165264,0.04374592,0.03182992,0.03525445,0.0189146,0.04047129,0.0430586,0.08646657
0.44,0.04275221,0.07897746,0.0231427,0.02443717,0.03660324,0.11448978,0.0099443,0.0271803,0.05845568,0.04158235,0.03159924,0.03477997,0.02023099,0.03801029,0.04186925,0.07659623
0.45,0.0415187,0.07592707,0.0227034,0.02471387,0.03771388,0.11245185,0.00955907,0.02689993,0.05179317,0.04046422,0.03267393,0.03372385,0.02194079,0.03518962,0.04057386,0.07204508
0.46,0.04063585,0.0735525,0.02245025,0.02552338,0.03808978,0.1103125,0.00900472,0.02671929,0.04955038,0.03941264,0.03450383,0.0326521,0.02336628,0.03305207,0.0384124,0.06766666
0.48,0.03868,0.0697934,0.02143673,0.02578844,0.03316265,0.10574617,0.00801885,0.02670403,0.05236226,0.03706793,0.03524623,0.02987059,0.02386705,0.03265863,0.03294006,0.05940705
0.5,0.03543687,0.06600717,0.01902477,0.02374497,0.02725282,0.10208857,0.00751881,0.02564339,0.04841371,0.03454744,0.03147063,0.0255824,0.02168663,0.03047061,0.03031132,0.05194797
0.55,0.03048821,0.0692509,0.01342265,0.0171478,0.03545036,0.11060813,0.00605939,0.02212262,0.04064073,0.02841003,0.02063339,0.01726943,0.01348929,0.02000282,0.02677364,0.03773908
0.6,0.02823771,0.07524907,0.01059639,0.01545392,0.03646243,0.11885628,0.00531769,0.02005365,0.03783294,0.02284184,0.01522937,0.01577783,0.00984583,0.01876587,0.02129072,0.02936191
0.65,0.02477606,0.07405857,0.00828875,0.01225566,0.02448352,0.11494664,0.00462352,0.01795015,0.03662276,0.01819416,0.01252706,0.01689227,0.00966529,0.01302194,0.01671641,0.02418943
0.667,0.02350096,0.07205742,0.00766465,0.01134617,0.02114692,0.11068987,0.00431926,0.01678826,0.03743065,0.01692598,0.01182894,0.01658948,0.00917024,0.01124488,0.01528034,0.02275151
0.7,0.02134225,0.06770004,0.00672809,0.01074747,0.01768446,0.10311272,0.00377242,0.01422513,0.03440763,0.01485794,0.01204296,0.01495024,0.007019,0.01040848,0.0140236,0.02019722
0.75,0.01844677,0.06116383,0.00556347,0.00995833,0.01518642,0.09277993,0.00311608,0.01153466,0.02651921,0.01222585,0.01149959,0.01231025,0.00547445,0.01094259,0.01154139,0.01671921
0.8,0.01620658,0.05763544,0.00455715,0.00771085,0.01254404,0.08534117,0.0027432,0.00903596,0.02407785,0.01022571,0.01308579,0.0096376,0.00459071,0.00794155,0.0100176,0.01373347
