$                                                  
-122.50000       42.00860
-122.49239       42.00858
-122.45400       42.00850
-122.45327       42.00851
-122.44323       42.00858
-122.43021       42.00866
-122.41555       42.00877
-122.40072       42.00887
-122.39802       42.00889
$segment
-122.39802       42.00889
-122.39685       42.00890
-122.39640       42.00890
-122.38150       42.00948
-122.37706       42.00965
$segment
-122.37670       42.00965
-122.37500       42.00960
-122.37210       42.00960
-122.36703       42.00948
-122.36279       42.00938
-122.35110       42.00910
-122.34890       42.00906
-122.34266       42.00895
-122.32819       42.00871
-122.32262       42.00861
-122.31020       42.00840
-122.30563       42.00829
-122.28840       42.00790
$segment
-122.28840       42.00790
-122.26934       42.00763
-122.26109       42.00751
-122.26000       42.00750
-122.25000       42.00755
-122.24715       42.00755
-122.23567       42.00756
-122.22039       42.00757
-122.21905       42.00757
-122.18717       42.00759
-122.18677       42.00759
-122.18468       42.00759
-122.18030       42.00760
-122.17548       42.00760
$segment
-122.17548       42.00760
-122.16158       42.00788
-122.16020       42.00777
-122.15932       42.00777
-122.15554       42.00752
-122.15428       42.00756
-122.12691       42.00653
-122.12641       42.00652
-122.12500       42.00648
-122.10832       42.00608
$segment
-122.10832       42.00608
-122.10080       42.00590
-122.09264       42.00576
-122.08289       42.00558
-122.06392       42.00525
-122.05529       42.00510
-122.03792       42.00480
-122.02368       42.00456
-122.01673       42.00444
-122.01450       42.00440
-122.01353       42.00438
-122.00000       42.00415
-121.99920       42.00410
-121.97437       42.00397
-121.96170       42.00390
-121.95518       42.00387
$segment
-121.95518       42.00387
-121.95286       42.00386
-121.92118       42.00371
$segment
-121.92118       42.00371
-121.91705       42.00369
-121.90701       42.00365
-121.90092       42.00362
-121.89660       42.00360
-121.88971       42.00355
-121.88841       42.00354
-121.87500       42.00343
-121.86787       42.00338
-121.84795       42.00322
-121.84560       42.00321
-121.83363       42.00303
-121.82394       42.00289
-121.82330       42.00288
-121.82044       42.00283
-121.81522       42.00276
-121.81459       42.00275
-121.79020       42.00240
-121.77753       42.00213
-121.77711       42.00212
-121.77646       42.00211
-121.75610       42.00168
-121.75000       42.00155
-121.73598       42.00135
-121.71638       42.00108
-121.70709       42.00094
-121.70639       42.00094
-121.70551       42.00094
-121.70513       42.00092
-121.70440       42.00096
-121.70394       42.00089
-121.69843       42.00082
-121.68805       42.00071
-121.67705       42.00057
-121.67504       42.00049
-121.67424       42.00048
-121.66854       42.00046
-121.64504       42.00007
$segment
-121.64504       42.00007
-121.64077       42.00001
$segment
-121.64020       42.00000
