  4.0531667e+001 -6.8440000e+001  2.7411516e+000
  4.1013333e+001 -6.8280000e+001  2.8260748e+000
  4.0438333e+001 -6.7315000e+001  6.0205999e-001
  4.0998333e+001 -6.7328333e+001  0.0000000e+000
  4.1396667e+001 -6.7551667e+001  2.5843312e+000
  4.1280000e+001 -6.7058333e+001  2.5526682e+000
  4.1188333e+001 -6.6473333e+001  2.1875207e+000
  4.1405000e+001 -6.6698333e+001  2.0530784e+000
  4.1736667e+001 -6.6526667e+001  2.7535831e+000
  4.1798333e+001 -6.6193333e+001  2.8407332e+000
  4.2336667e+001 -6.5773333e+001  0.0000000e+000
  4.1920000e+001 -6.6695000e+001  1.9106244e+000
  4.2303333e+001 -6.6893333e+001  2.6739420e+000
  4.1890000e+001 -6.7226667e+001  2.0128372e+000
  4.1865000e+001 -6.8276667e+001  3.7671559e+000
  4.1431667e+001 -6.8305000e+001  3.4865722e+000
  4.1485000e+001 -6.8958333e+001  1.6334685e+000
  4.2131667e+001 -6.6030000e+001  3.0056094e+000
