
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2020-08-05


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, whittier narrows
Station Name:, 
User-Defined Maximum Number of Records:, 80
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
14, RotD50, 602, -, 1.0, -, 3.2, 9.7, 0.4, "Whittier Narrows-01", 1987, "Burbank - N Buena Vista", 5.99, Reverse Oblique, 20.37, 26.34, 320.57, 0.3, 1.0, RSN602_WHITTIER.A_A-BUE250.AT2, RSN602_WHITTIER.A_A-BUE340.AT2 , RSN602_WHITTIER.A_A-BUE-UP.AT2  
15, RotD50, 603, -, 1.0, -, 7.5, 16.8, 0.0, "Whittier Narrows-01", 1987, "Calabasas - N Las Virg", 5.99, Reverse Oblique, 52.76, 54.74, 403.72, 0.3, 1.0, RSN603_WHITTIER.A_A-VIR200.AT2, RSN603_WHITTIER.A_A-VIR290.AT2 , RSN603_WHITTIER.A_A-VIR-UP.AT2  
16, RotD50, 604, -, 1.0, -, 5.7, 14.5, 0.2, "Whittier Narrows-01", 1987, "Canoga Park - Topanga Can", 5.99, Reverse Oblique, 45.98, 48.96, 267.49, 0.3, 1.0, RSN604_WHITTIER.A_A-CNP106.AT2, RSN604_WHITTIER.A_A-CNP196.AT2 , RSN604_WHITTIER.A_A-CNP-UP.AT2  
17, RotD50, 605, -, 1.0, -, 3.8, 8.9, 0.1, "Whittier Narrows-01", 1987, "Canyon Country - W Lost Cany", 5.99, Reverse Oblique, 44.88, 48.18, 325.6, 0.4, 1.0, RSN605_WHITTIER.A_A-LOS000.AT2, RSN605_WHITTIER.A_A-LOS270.AT2 , RSN605_WHITTIER.A_A-LOS-UP.AT2  
18, RotD50, 606, -, 1.0, -, 2.0, 7.3, 0.2, "Whittier Narrows-01", 1987, "Carbon Canyon Dam", 5.99, Reverse Oblique, 22.57, 26.82, 235.0, 0.625, 1.0, RSN606_WHITTIER.A_A-CNB040.AT2, RSN606_WHITTIER.A_A-CNB130.AT2 , RSN606_WHITTIER.A_A-CNB-UP.AT2  
19, RotD50, 607, -, 1.0, -, 11.8, 22.8, 0.0, "Whittier Narrows-01", 1987, "Carson - Catskill Ave", 5.99, Reverse Oblique, 29.85, 33.19, 305.14, 0.2, 1.0, RSN607_WHITTIER.A_A-CAT090.AT2, RSN607_WHITTIER.A_A-CAT180.AT2 , RSN607_WHITTIER.A_A-CAT-UP.AT2  
20, RotD50, 608, -, 1.0, -, 7.3, 15.1, 0.2, "Whittier Narrows-01", 1987, "Carson - Water St", 5.99, Reverse Oblique, 26.3, 30.03, 160.58, 0.22, 1.0, RSN608_WHITTIER.A_A-WAT180.AT2, RSN608_WHITTIER.A_A-WAT270.AT2 , RSN608_WHITTIER.A_A-WAT-UP.AT2  
21, RotD50, 609, -, 1.0, -, 9.1, 17.3, 0.0, "Whittier Narrows-01", 1987, "Castaic - Hasley Canyon", 5.99, Reverse Oblique, 62.56, 64.96, 421.05, 0.275, 1.0, RSN609_WHITTIER.A_A-CSH000.AT2, RSN609_WHITTIER.A_A-CSH090.AT2 , RSN609_WHITTIER.A_A-CSH-UP.AT2  
22, RotD50, 610, -, 1.0, -, 7.1, 13.4, 0.1, "Whittier Narrows-01", 1987, "Castaic - Old Ridge Route", 5.99, Reverse Oblique, 70.04, 72.2, 450.28, 0.5375, 1.0, RSN610_WHITTIER.A_A-ORR000.AT2, RSN610_WHITTIER.A_A-ORR090.AT2 , RSN610_WHITTIER.A_A-ORR-UP.AT2  
23, RotD50, 611, -, 1.0, -, 2.1, 8.4, 0.7, "Whittier Narrows-01", 1987, "Compton - Castlegate St", 5.99, Reverse Oblique, 18.32, 23.37, 266.9, 0.3, 1.0, RSN611_WHITTIER.A_A-CAS000.AT2, RSN611_WHITTIER.A_A-CAS270.AT2 , RSN611_WHITTIER.A_A-CAS-UP.AT2  
