
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2020-08-05


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, whittier narrows
Station Name:, 
User-Defined Maximum Number of Records:, 80
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
7.0,0.00165001,0.00409709,0.0006645,0.00221019,0.00124573,0.00030914,0.00236435,0.00066727,0.00311259,0.00573759,0.00059216,0.00073768,0.00035876,0.00147048,0.00177256,0.00199909,0.00121219,0.00020406,0.00071297,0.00077454,0.00077893,0.00194262,0.00174161,0.00047035,0.00036917,0.00403752,0.00196286,0.00215666,0.00668448,0.00436345,0.00428289,0.00030234,0.00026176,0.00364926,0.00092181,0.00113726,0.00224814,0.00013491,0.00153828,0.00476112,0.00291954,0.00120369,0.0006594,0.00068475,0.00141541,0.00015695,0.00115352,0.00345326,0.00188033,0.00091133,0.00107015,0.00161695,0.00296525,0.00246738,0.00134225,0.00069658,0.0027441,0.00026136,0.00373264,0.00495923,0.00359878,0.00251963,0.00101148,0.00341305,0.00096755,0.00019496,0.00471237,0.00070053,0.00064106,0.00013919,0.00013583,0.00015587,0.00039492,0.00023079,0.00032128,0.0005053,0.00059944,0.00093831,0.00052476,0.00045879,0.00095042,0.00413276,0.00065374,0.00022903
7.5,0.00143194,0.00356536,0.00057511,0.00190176,0.00106557,0.00027331,0.00199379,0.00058523,0.00264395,0.00490552,0.00050689,0.00064456,0.00030916,0.00124379,0.0015154,0.00193819,0.00105291,0.00017233,0.00062058,0.00067362,0.00065859,0.00160227,0.00152417,0.00039943,0.00031807,0.00344462,0.00204892,0.0017729,0.00576903,0.00369478,0.00348147,0.00026235,0.00022001,0.00313589,0.00080194,0.00107775,0.00186937,0.00010831,0.00119443,0.00447156,0.00256009,0.00103376,0.00059495,0.00056901,0.00117675,0.00013556,0.0009879,0.00287269,0.00164977,0.00078906,0.00085571,0.00138799,0.0034058,0.00209764,0.00117126,0.00059074,0.00246431,0.00023632,0.00333087,0.00431581,0.00284656,0.00198664,0.00086906,0.00289545,0.00075921,0.00016772,0.00413748,0.00073512,0.00055883,0.00012224,0.00011894,0.00013429,0.0004235,0.00020774,0.00028149,0.00035274,0.0005106,0.00079813,0.00043976,0.00041525,0.00087802,0.00348032,0.00054739,0.00019243
8.0,0.00124924,0.00311275,0.00050135,0.00164579,0.00091959,0.00024343,0.00199616,0.00052346,0.00211051,0.00421827,0.00042705,0.00056601,0.00026807,0.00106671,0.00130734,0.00181855,0.00091562,0.00014994,0.00054221,0.00058334,0.00056341,0.00131133,0.0013264,0.00033541,0.00027964,0.0029648,0.00199702,0.00151414,0.00500901,0.00316174,0.00286656,0.00022941,0.00019779,0.00270568,0.00070256,0.00111188,0.00150351,9.282e-05,0.00102034,0.00355187,0.00225575,0.00089579,0.00051861,0.00048243,0.00118643,0.0001183,0.00085529,0.00239121,0.00145758,0.0006923,0.00068497,0.00120249,0.00390798,0.00182349,0.00098534,0.00048999,0.0020905,0.00021203,0.00288565,0.00377465,0.00235363,0.00163426,0.00075356,0.00247682,0.00062067,0.00014488,0.00365612,0.00077301,0.00049197,0.00010846,0.00010434,0.00011648,0.0003713,0.00018075,0.00024945,0.00028261,0.0004336,0.00068541,0.00038429,0.0003708,0.00074433,0.00296665,0.00046714,0.00015949
8.5,0.00108904,0.00272973,0.00043448,0.00143318,0.0008001,0.00021803,0.00177758,0.00047222,0.00170164,0.00365015,0.00039322,0.0004998,0.00023443,0.00092566,0.00113758,0.00158764,0.00079749,0.00013065,0.00047589,0.00050566,0.00048821,0.00107363,0.00115364,0.00029697,0.00025006,0.00257407,0.00179611,0.00132048,0.00437576,0.00273343,0.00245751,0.00020207,0.00017333,0.00235262,0.00062129,0.00104463,0.00125016,8.199e-05,0.00086194,0.00283788,0.00199937,0.0007893,0.00044008,0.00041956,0.00112703,0.00010416,0.00074864,0.0020046,0.00129527,0.00061374,0.00056753,0.00105069,0.00380144,0.00159652,0.00084001,0.00042659,0.00186732,0.00018981,0.00258722,0.00331887,0.00201913,0.00140689,0.00065951,0.00213067,0.00052397,0.00012599,0.0032492,0.00069819,0.00043553,9.555e-05,9.185e-05,0.00010269,0.00026946,0.00016272,0.00022292,0.00024426,0.00035669,0.00059583,0.00033769,0.00032813,0.00057734,0.0025566,0.00040503,0.00014218
9.0,0.00095078,0.00236185,0.00038275,0.00125598,0.00070204,0.00019619,0.00175945,0.00042678,0.00149522,0.003179,0.00035861,0.00044371,0.0002061,0.00081173,0.00099798,0.00142593,0.00069866,0.00011361,0.00041987,0.0004397,0.00042752,0.00088441,0.00099248,0.00026097,0.00022521,0.00225348,0.0015814,0.00115734,0.00384591,0.0023858,0.00217546,0.00017924,0.00015949,0.00205573,0.00055244,0.00096446,0.00105636,7.37e-05,0.00074775,0.00205637,0.00178142,0.00070563,0.00038491,0.00036816,0.00111857,9.242e-05,0.00066,0.00184461,0.00115771,0.00054849,0.00049153,0.00092523,0.00313434,0.00140747,0.00073126,0.00037734,0.00158242,0.00016966,0.00218563,0.00293381,0.00172071,0.00125349,0.00058142,0.00182385,0.00045946,0.00011025,0.00290237,0.00056879,0.00038812,8.648e-05,8.118e-05,9.144e-05,0.00018566,0.00014602,0.00020049,0.00021429,0.00031729,0.00053186,0.00029874,0.00028897,0.00048885,0.00222498,0.00035563,0.00012635
9.5,0.00083931,0.00207816,0.00033897,0.00110763,0.00062043,0.00017724,0.00184841,0.00038657,0.00132118,0.00278646,0.00032215,0.00039643,0.00018265,0.00071836,0.00088204,0.00123495,0.00061566,9.887e-05,0.00037265,0.0003841,0.00037789,0.00073646,0.0008327,0.00022405,0.0002037,0.00198819,0.00146374,0.00101969,0.0034003,0.00210066,0.00193456,0.00016001,0.0001466,0.0018101,0.00049541,0.00088542,0.0009294,6.649e-05,0.00062457,0.00154978,0.0015959,0.00063402,0.00034369,0.00032487,0.00102856,8.257e-05,0.00058623,0.00167514,0.00103916,0.00049205,0.00042187,0.00082054,0.00264978,0.00124906,0.00063702,0.00033608,0.00143899,0.00015198,0.00177334,0.00260711,0.00147106,0.00114057,0.00051769,0.00164277,0.00043599,9.729e-05,0.00260477,0.00045975,0.00034704,7.838e-05,7.211e-05,8.194e-05,0.0001612,0.00013078,0.00018123,0.00017962,0.00028247,0.00047747,0.0002666,0.00025407,0.00042141,0.00195354,0.00031562,0.00011714
10.0,0.00074355,0.00183894,0.00030065,0.00098266,0.00055132,0.00016071,0.00169919,0.00034997,0.00117295,0.00245754,0.00028551,0.00035644,0.00016276,0.00064046,0.00078492,0.00102415,0.00054577,8.773e-05,0.00033271,0.00033708,0.00033678,0.00062069,0.00073869,0.00019285,0.00018402,0.00176672,0.0013198,0.00090316,0.00302349,0.00186432,0.00172839,0.00014374,0.00013416,0.00160144,0.00044595,0.00074739,0.00082291,5.935e-05,0.00061003,0.0013663,0.00143542,0.00057242,0.00030738,0.00028891,0.00077901,7.423e-05,0.00052494,0.00150297,0.00093743,0.00044452,0.00037064,0.00073241,0.0022925,0.00111524,0.00055614,0.0003009,0.00127928,0.0001363,0.00146072,0.00232864,0.00126637,0.00104779,0.00046313,0.00146145,0.00040242,8.644e-05,0.00234796,0.00041373,0.00031212,7.126e-05,6.487e-05,7.385e-05,0.00014965,0.00011692,0.00016454,0.00015471,0.00025244,0.0004299,0.00023951,0.00022369,0.00038346,0.00172885,0.00028264,0.00010791
11.0,0.00059353,0.00148817,0.00023672,0.00078648,0.00044374,0.00013349,0.00125925,0.00028786,0.0009372,0.00194628,0.00022509,0.00029297,0.00013166,0.00051933,0.00063301,0.00076638,0.00043721,7.299e-05,0.00026982,0.00026409,0.00027281,0.00045608,0.00059729,0.00015794,0.00014991,0.00142187,0.00102059,0.00071947,0.00242867,0.00149924,0.00139843,0.0001179,0.00011018,0.00127659,0.00036751,0.0005205,0.00065759,4.855e-05,0.00047169,0.00112938,0.0011779,0.00047196,0.00023508,0.00022832,0.00046304,6.095e-05,0.00042719,0.00118751,0.00077229,0.00036652,0.00028559,0.00059363,0.0021192,0.0009039,0.00043249,0.00024448,0.00096577,0.00011058,0.00102697,0.00188447,0.00097716,0.00088881,0.00037989,0.00113685,0.00034358,6.984e-05,0.00193108,0.0003184,0.000256,5.915e-05,5.299e-05,6.089e-05,0.00012606,9.92e-05,0.00013728,0.00012412,0.00020324,0.00035184,0.00019689,0.00018097,0.00028981,0.00138205,0.00023169,9.092e-05
12.0,0.00049221,0.00130135,0.00018617,0.0006422,0.00036474,0.00011228,0.00095468,0.00023818,0.00076303,0.00157305,0.0001864,0.00024496,0.00010879,0.00043045,0.00052131,0.00063093,0.00036187,6.099e-05,0.0002235,0.00021221,0.00022642,0.00035366,0.00049356,0.0001303,0.00012298,0.00116955,0.00081107,0.00058353,0.00198827,0.00123397,0.00115082,9.853e-05,9.271e-05,0.00103859,0.00030777,0.00039634,0.00053654,4.154e-05,0.00033321,0.00098652,0.00098271,0.00039493,0.00019594,0.00018883,0.0003477,5.096e-05,0.00035502,0.00093294,0.00064579,0.0003075,0.00023215,0.00049073,0.00251154,0.00074685,0.00035015,0.0002022,0.00075472,9.086e-05,0.00078662,0.00155233,0.0007976,0.00074743,0.00031797,0.00079629,0.00027942,5.788e-05,0.00161171,0.00022193,0.00021327,4.932e-05,4.387e-05,5.107e-05,0.00010692,8.187e-05,0.00011598,0.00010203,0.00016577,0.00029216,0.00016422,0.00015321,0.000252,0.00113056,0.00019428,7.643e-05
13.0,0.00041663,0.00117812,0.00014734,0.00053453,0.000305,9.553e-05,0.00074733,0.00019958,0.00063108,0.00129577,0.00015442,0.00020991,9.157e-05,0.00036294,0.00043689,0.0005272,0.00031695,5.138e-05,0.00018851,0.00017454,0.00019137,0.00029501,0.00041547,0.00010659,0.00010247,0.00097977,0.00063262,0.00048168,0.00165498,0.00103501,0.00096202,8.365e-05,8.005e-05,0.00086013,0.00026145,0.00029289,0.00044576,3.652e-05,0.00026144,0.00086846,0.00083101,0.00033477,0.00016876,0.00016182,0.00028509,4.325e-05,0.00029949,0.00073783,0.00054721,0.00026137,0.00019395,0.00041242,0.00268591,0.00062733,0.0002942,0.00016992,0.00063198,7.559e-05,0.00061644,0.00129869,0.00067793,0.00062266,0.00026976,0.00064567,0.00022009,4.908e-05,0.00136293,0.00017596,0.00018076,4.121e-05,3.681e-05,4.346e-05,8.388e-05,7.2e-05,9.923e-05,8.556e-05,0.00013981,0.00024627,0.00013892,0.00012823,0.00020665,0.00094256,0.00016576,6.465e-05
14.0,0.00035585,0.00104298,0.00012141,0.00046043,0.00025881,8.214e-05,0.00057807,0.00016909,0.00053,0.00108382,0.00012733,0.00018227,7.83e-05,0.00031064,0.00037156,0.00044611,0.0002782,4.464e-05,0.00016148,0.00014628,0.00016413,0.00025006,0.00035505,9.367e-05,8.683e-05,0.00083318,0.00052098,0.00040369,0.00139764,0.00088171,0.00081528,7.194e-05,7.206e-05,0.00072273,0.00022523,0.00022492,0.00037601,3.144e-05,0.00020855,0.00074848,0.00071182,0.0002874,0.00014666,0.00013961,0.00024242,3.718e-05,0.00025612,0.00059089,0.00046914,0.00022473,0.00016357,0.00035149,0.0025217,0.00053436,0.00025291,0.0001447,0.00053832,6.371e-05,0.00054025,0.00110138,0.00059116,0.00051669,0.00023176,0.00053876,0.00018883,4.223e-05,0.00116602,0.00014625,0.00015516,3.461e-05,3.129e-05,3.743e-05,7.543e-05,6.229e-05,8.573e-05,7.376e-05,0.0001212,0.00021067,0.00011913,0.00010672,0.00018089,0.00079828,0.00014338,5.501e-05
15.0,0.00030519,0.00088318,0.00010546,0.00040223,0.00022238,7.129e-05,0.00045317,0.00014495,0.00045061,0.00091991,0.00010443,0.00015935,6.783e-05,0.00026894,0.00031998,0.00038182,0.00024511,3.863e-05,0.00014011,0.00012467,0.0001425,0.00021427,0.00030749,8.166e-05,7.493e-05,0.00071765,0.00049765,0.0003427,0.00119532,0.00076089,0.00069935,6.258e-05,6.494e-05,0.00061617,0.00019577,0.00018287,0.00032139,2.78e-05,0.00016952,0.00065286,0.00061603,0.00024942,0.00012769,0.00012119,0.00022689,3.23e-05,0.0002219,0.00048074,0.00040669,0.00019521,0.00013928,0.00030317,0.00210605,0.00046073,0.00022015,0.00012467,0.00046337,5.432e-05,0.00047386,0.00094528,0.0005235,0.00042931,0.00020122,0.00045607,0.0001611,3.683e-05,0.00100808,0.00011772,0.00013478,2.927e-05,2.693e-05,3.257e-05,6.53e-05,5.254e-05,7.472e-05,6.409e-05,0.00010533,0.00018235,0.00010317,8.894e-05,0.00015638,0.00068509,0.0001254,4.743e-05
20.0,0.00016007,0.00043025,5.955e-05,0.00023006,0.00011962,3.932e-05,0.00021627,7.779e-05,0.00023272,0.00047189,5.535e-05,8.976e-05,3.792e-05,0.00014905,0.00017366,0.00020122,0.00013838,2.125e-05,7.879e-05,6.662e-05,7.969e-05,0.0001122,0.00017055,3.995e-05,4.207e-05,0.00039037,0.00027646,0.00019327,0.00063034,0.00041748,0.00037263,3.517e-05,3.682e-05,0.00032136,0.00010954,9.38e-05,0.00017881,1.46e-05,8.246e-05,0.00029871,0.00033879,0.00013787,6.886e-05,6.504e-05,0.00011459,1.802e-05,0.00012228,0.00021219,0.00022395,0.00010859,7.129e-05,0.00016514,0.00090533,0.00025075,0.00011939,6.732e-05,0.00024151,2.806e-05,0.00026037,0.00050416,0.00031415,0.00019108,0.00011363,0.00023188,7.9e-05,2.107e-05,0.00054968,5.952e-05,7.552e-05,1.7e-05,1.469e-05,1.827e-05,3.149e-05,2.765e-05,4.177e-05,3.666e-05,5.856e-05,0.00010066,5.681e-05,4.973e-05,9.204e-05,0.00036784,7.204e-05,2.544e-05

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-589 Horizontal-1 pSa (g),RSN-589 Horizontal-2 pSa (g),RSN-589 Vertical pSa (g),RSN-590 Horizontal-1 pSa (g),RSN-590 Horizontal-2 pSa (g),RSN-590 Vertical pSa (g),RSN-591 Horizontal-1 pSa (g),RSN-591 Horizontal-2 pSa (g),RSN-591 Vertical pSa (g),RSN-592 Horizontal-1 pSa (g),RSN-592 Horizontal-2 pSa (g),RSN-592 Vertical pSa (g),RSN-593 Horizontal-1 pSa (g),RSN-593 Horizontal-2 pSa (g),RSN-593 Vertical pSa (g),RSN-594 Horizontal-1 pSa (g),RSN-594 Horizontal-2 pSa (g),RSN-594 Vertical pSa (g),RSN-595 Horizontal-1 pSa (g),RSN-595 Horizontal-2 pSa (g),RSN-595 Vertical pSa (g),RSN-596 Horizontal-1 pSa (g),RSN-596 Horizontal-2 pSa (g),RSN-596 Vertical pSa (g),RSN-597 Horizontal-1 pSa (g),RSN-597 Horizontal-2 pSa (g),RSN-597 Vertical pSa (g),RSN-598 Horizontal-1 pSa (g),RSN-598 Horizontal-2 pSa (g),RSN-598 Vertical pSa (g),RSN-599 Horizontal-1 pSa (g),RSN-599 Horizontal-2 pSa (g),RSN-599 Vertical pSa (g),RSN-600 Horizontal-1 pSa (g),RSN-600 Horizontal-2 pSa (g),RSN-600 Vertical pSa (g),RSN-601 Horizontal-1 pSa (g),RSN-601 Horizontal-2 pSa (g),RSN-601 Vertical pSa (g),RSN-602 Horizontal-1 pSa (g),RSN-602 Horizontal-2 pSa (g),RSN-602 Vertical pSa (g),RSN-603 Horizontal-1 pSa (g),RSN-603 Horizontal-2 pSa (g),RSN-603 Vertical pSa (g),RSN-604 Horizontal-1 pSa (g),RSN-604 Horizontal-2 pSa (g),RSN-604 Vertical pSa (g),RSN-605 Horizontal-1 pSa (g),RSN-605 Horizontal-2 pSa (g),RSN-605 Vertical pSa (g),RSN-606 Horizontal-1 pSa (g),RSN-606 Horizontal-2 pSa (g),RSN-606 Vertical pSa (g),RSN-607 Horizontal-1 pSa (g),RSN-607 Horizontal-2 pSa (g),RSN-607 Vertical pSa (g),RSN-608 Horizontal-1 pSa (g),RSN-608 Horizontal-2 pSa (g),RSN-608 Vertical pSa (g),RSN-609 Horizontal-1 pSa (g),RSN-609 Horizontal-2 pSa (g),RSN-609 Vertical pSa (g),RSN-610 Horizontal-1 pSa (g),RSN-610 Horizontal-2 pSa (g),RSN-610 Vertical pSa (g),RSN-611 Horizontal-1 pSa (g),RSN-611 Horizontal-2 pSa (g),RSN-611 Vertical pSa (g),RSN-612 Horizontal-1 pSa (g),RSN-612 Horizontal-2 pSa (g),RSN-612 Vertical pSa (g),RSN-613 Horizontal-1 pSa (g),RSN-613 Horizontal-2 pSa (g),RSN-613 Vertical pSa (g),RSN-614 Horizontal-1 pSa (g),RSN-614 Horizontal-2 pSa (g),RSN-614 Vertical pSa (g),RSN-615 Horizontal-1 pSa (g),RSN-615 Horizontal-2 pSa (g),RSN-615 Vertical pSa (g),RSN-616 Horizontal-1 pSa (g),RSN-616 Horizontal-2 pSa (g),RSN-616 Vertical pSa (g),RSN-617 Horizontal-1 pSa (g),RSN-617 Horizontal-2 pSa (g),RSN-617 Vertical pSa (g),RSN-618 Horizontal-1 pSa (g),RSN-618 Horizontal-2 pSa (g),RSN-618 Vertical pSa (g),RSN-619 Horizontal-1 pSa (g),RSN-619 Horizontal-2 pSa (g),RSN-619 Vertical pSa (g),RSN-620 Horizontal-1 pSa (g),RSN-620 Horizontal-2 pSa (g),RSN-620 Vertical pSa (g),RSN-621 Horizontal-1 pSa (g),RSN-621 Horizontal-2 pSa (g),RSN-621 Vertical pSa (g),RSN-622 Horizontal-1 pSa (g),RSN-622 Horizontal-2 pSa (g),RSN-622 Vertical pSa (g),RSN-623 Horizontal-1 pSa (g),RSN-623 Horizontal-2 pSa (g),RSN-623 Vertical pSa (g),RSN-624 Horizontal-1 pSa (g),RSN-624 Horizontal-2 pSa (g),RSN-624 Vertical pSa (g),RSN-625 Horizontal-1 pSa (g),RSN-625 Horizontal-2 pSa (g),RSN-625 Vertical pSa (g),RSN-626 Horizontal-1 pSa (g),RSN-626 Horizontal-2 pSa (g),RSN-626 Vertical pSa (g),RSN-627 Horizontal-1 pSa (g),RSN-627 Horizontal-2 pSa (g),RSN-627 Vertical pSa (g),RSN-628 Horizontal-1 pSa (g),RSN-628 Horizontal-2 pSa (g),RSN-628 Vertical pSa (g),RSN-629 Horizontal-1 pSa (g),RSN-629 Horizontal-2 pSa (g),RSN-629 Vertical pSa (g),RSN-630 Horizontal-1 pSa (g),RSN-630 Horizontal-2 pSa (g),RSN-630 Vertical pSa (g),RSN-631 Horizontal-1 pSa (g),RSN-631 Horizontal-2 pSa (g),RSN-631 Vertical pSa (g),RSN-632 Horizontal-1 pSa (g),RSN-632 Horizontal-2 pSa (g),RSN-632 Vertical pSa (g),RSN-633 Horizontal-1 pSa (g),RSN-633 Horizontal-2 pSa (g),RSN-633 Vertical pSa (g),RSN-634 Horizontal-1 pSa (g),RSN-634 Horizontal-2 pSa (g),RSN-634 Vertical pSa (g),RSN-635 Horizontal-1 pSa (g),RSN-635 Horizontal-2 pSa (g),RSN-635 Vertical pSa (g),RSN-636 Horizontal-1 pSa (g),RSN-636 Horizontal-2 pSa (g),RSN-636 Vertical pSa (g),RSN-637 Horizontal-1 pSa (g),RSN-637 Horizontal-2 pSa (g),RSN-637 Vertical pSa (g),RSN-638 Horizontal-1 pSa (g),RSN-638 Horizontal-2 pSa (g),RSN-638 Vertical pSa (g),RSN-639 Horizontal-1 pSa (g),RSN-639 Horizontal-2 pSa (g),RSN-639 Vertical pSa (g),RSN-640 Horizontal-1 pSa (g),RSN-640 Horizontal-2 pSa (g),RSN-640 Vertical pSa (g),RSN-641 Horizontal-1 pSa (g),RSN-641 Horizontal-2 pSa (g),RSN-641 Vertical pSa (g),RSN-642 Horizontal-1 pSa (g),RSN-642 Horizontal-2 pSa (g),RSN-642 Vertical pSa (g),RSN-643 Horizontal-1 pSa (g),RSN-643 Horizontal-2 pSa (g),RSN-643 Vertical pSa (g),RSN-644 Horizontal-1 pSa (g),RSN-644 Horizontal-2 pSa (g),RSN-644 Vertical pSa (g),RSN-645 Horizontal-1 pSa (g),RSN-645 Horizontal-2 pSa (g),RSN-645 Vertical pSa (g),RSN-646 Horizontal-1 pSa (g),RSN-646 Horizontal-2 pSa (g),RSN-646 Vertical pSa (g),RSN-647 Horizontal-1 pSa (g),RSN-647 Horizontal-2 pSa (g),RSN-647 Vertical pSa (g),RSN-648 Horizontal-1 pSa (g),RSN-648 Horizontal-2 pSa (g),RSN-648 Vertical pSa (g),RSN-649 Horizontal-1 pSa (g),RSN-649 Horizontal-2 pSa (g),RSN-649 Vertical pSa (g),RSN-650 Horizontal-1 pSa (g),RSN-650 Horizontal-2 pSa (g),RSN-650 Vertical pSa (g),RSN-651 Horizontal-1 pSa (g),RSN-651 Horizontal-2 pSa (g),RSN-651 Vertical pSa (g),RSN-652 Horizontal-1 pSa (g),RSN-652 Horizontal-2 pSa (g),RSN-652 Vertical pSa (g),RSN-653 Horizontal-1 pSa (g),RSN-653 Horizontal-2 pSa (g),RSN-653 Vertical pSa (g),RSN-654 Horizontal-1 pSa (g),RSN-654 Horizontal-2 pSa (g),RSN-654 Vertical pSa (g),RSN-655 Horizontal-1 pSa (g),RSN-655 Horizontal-2 pSa (g),RSN-655 Vertical pSa (g),RSN-656 Horizontal-1 pSa (g),RSN-656 Horizontal-2 pSa (g),RSN-656 Vertical pSa (g),RSN-657 Horizontal-1 pSa (g),RSN-657 Horizontal-2 pSa (g),RSN-657 Vertical pSa (g),RSN-658 Horizontal-1 pSa (g),RSN-658 Horizontal-2 pSa (g),RSN-658 Vertical pSa (g),RSN-659 Horizontal-1 pSa (g),RSN-659 Horizontal-2 pSa (g),RSN-659 Vertical pSa (g),RSN-661 Horizontal-1 pSa (g),RSN-661 Horizontal-2 pSa (g),RSN-661 Vertical pSa (g),RSN-662 Horizontal-1 pSa (g),RSN-662 Horizontal-2 pSa (g),RSN-662 Vertical pSa (g),RSN-663 Horizontal-1 pSa (g),RSN-663 Horizontal-2 pSa (g),RSN-663 Vertical pSa (g),RSN-664 Horizontal-1 pSa (g),RSN-664 Horizontal-2 pSa (g),RSN-664 Vertical pSa (g),RSN-665 Horizontal-1 pSa (g),RSN-665 Horizontal-2 pSa (g),RSN-665 Vertical pSa (g),RSN-666 Horizontal-1 pSa (g),RSN-666 Horizontal-2 pSa (g),RSN-666 Vertical pSa (g),RSN-667 Horizontal-1 pSa (g),RSN-667 Horizontal-2 pSa (g),RSN-667 Vertical pSa (g),RSN-668 Horizontal-1 pSa (g),RSN-668 Horizontal-2 pSa (g),RSN-668 Vertical pSa (g),RSN-669 Horizontal-1 pSa (g),RSN-669 Horizontal-2 pSa (g),RSN-669 Vertical pSa (g),RSN-670 Horizontal-1 pSa (g),RSN-670 Horizontal-2 pSa (g),RSN-670 Vertical pSa (g)
0.01,0.2933469,0.3882619,0.2,0.308511,0.1672546,0.171,0.05865541,0.05433113,0.0532,0.2933225,0.1766558,0.224,0.09237408,0.08707219,0.0855,0.1338815,0.06422307,0.0938,0.2296389,0.2223215,0.115,0.08741203,0.1339724,0.0635,0.09410447,0.1400438,0.0427,0.1278878,0.2077652,0.114,0.1156095,0.0988823,,0.1718905,0.3172142,0.0743,0.1025505,0.1577701,0.0957,0.2117196,0.1751687,0.134,0.04138483,0.02660521,0.0227,0.1277284,0.1137321,0.0511,0.1151526,0.09979472,0.104,0.1662859,0.2093297,0.0594,0.04030718,0.05771554,0.0366,0.1104409,0.09838489,0.0453,0.03162806,0.03811484,0.0217,0.0684012,0.06860928,0.0275,0.3216511,0.3034829,0.17,0.07885335,0.062167,0.0689,0.1358863,0.07781069,0.0959,0.2318782,0.3483345,0.304,0.2049979,0.1555374,0.173,0.136077,0.2455803,0.189,0.0789047,0.07774685,0.0463,0.07141878,0.05619235,0.0552,0.3747001,0.477338,0.362,0.3059036,0.1763699,0.162,0.0960129,0.114106,0.0834,0.1867229,0.2141406,0.112,0.03196384,0.03620205,0.0269,0.04520139,0.04079641,0.0262,0.2546116,0.2271013,0.0702,0.2737328,0.3975579,0.0846,0.1496538,0.159502,0.111,0.06341243,0.04708323,0.0366,0.07142381,0.1025215,0.0383,0.05840629,0.06881984,0.028,0.03793443,0.01826172,0.0199,0.1655125,0.1442897,0.0997,0.1603647,0.1765418,0.0996,0.1797738,0.2233631,0.167,0.2085404,0.1195103,0.0742,0.04939263,0.05953763,0.0344,0.1352586,0.1868254,0.165,0.2217442,0.2081231,0.0811,0.434177,0.4282292,0.137,0.192407,0.1689569,0.115,0.1066376,0.1531781,0.0459,0.1744915,0.156704,0.0812,0.04176344,0.04892854,0.0388,0.05263808,0.0705801,0.0274,0.22825,0.1574516,0.16,0.1476167,0.2377029,0.0867,0.06110625,0.05529676,0.0421,0.1364431,0.1504487,0.1,0.175046,0.122448,0.07,0.1427115,0.1230037,0.0839,0.0390898,0.02704055,,0.2955306,0.2046432,0.133,0.06169563,0.0615202,0.0284,0.06075392,0.05486128,0.0384,0.05258771,0.0522083,0.0252,0.0334924,0.04844869,0.0228,0.06759445,0.05621132,0.0153,0.04406109,0.04757573,0.0286,0.04485866,0.03091033,0.029,0.09621575,0.08013675,0.0511,0.04849398,0.04691331,0.0199,0.1231368,0.1805582,0.122,0.1222213,0.2103441,0.0724,0.04761841,0.05897127,0.0258,0.08687429,0.06146125,0.0322,0.1518965,0.1216714,0.0951,0.09158467,0.2479989,0.0875,0.1934887,0.208554,0.129,0.06500444,0.03534992,0.0329
