longitude latitude PGA(g)	
95.309330 5.154980 0.285812
95.309330 5.354980 0.272845
95.309330 5.554980 0.267469
95.509330 4.754980 0.277782
95.509330 4.954980 0.268643
95.509330 5.154980 0.264025
95.509330 5.354980 0.257418
95.509330 5.554980 0.251509
95.709330 2.754980 0.801417
95.709330 4.554980 0.280437
95.709330 4.754980 0.263425
95.709330 4.954980 0.253643
95.709330 5.154980 0.251699
95.709330 5.354980 0.247082
95.709330 5.554980 0.242882
95.909330 2.754980 0.804971
95.909330 4.354980 0.298261
95.909330 4.554980 0.272768
95.909330 4.754980 0.256697
95.909330 4.954980 0.247799
95.909330 5.154980 0.244622
95.909330 5.354980 0.241447
96.109330 2.554980 0.811233
96.109330 4.154980 0.316318
96.109330 4.354980 0.282172
96.109330 4.554980 0.263834
96.109330 4.754980 0.253072
96.109330 4.954980 0.245933
96.109330 5.154980 0.240109
96.309330 2.554980 0.814433
96.309330 4.154980 0.300049
96.309330 4.354980 0.274596
96.309330 4.554980 0.259063
96.309330 4.754980 0.249254
96.309330 4.954980 0.242882
96.309330 5.154980 0.239148
96.509330 3.754980 0.339275
96.509330 3.954980 0.305419
96.509330 4.154980 0.282930
96.509330 4.354980 0.265975
96.509330 4.554980 0.254799
96.509330 4.754980 0.246538
96.509330 4.954980 0.241776
96.509330 5.154980 0.238446
96.709330 3.754980 0.319738
96.709330 3.954980 0.285606
96.709330 4.154980 0.268446
96.709330 4.354980 0.258567
96.709330 4.554980 0.250214
96.709330 4.754980 0.244799
96.709330 4.954980 0.240992
96.709330 5.154980 0.238120
96.909330 3.754980 0.303487
96.909330 3.954980 0.277579
96.909330 4.154980 0.262222
96.909330 4.354980 0.252270
96.909330 4.554980 0.247663
96.909330 4.754980 0.243834
96.909330 4.954980 0.240323
96.909330 5.154980 0.237921
97.109330 3.554980 0.308634
97.109330 3.754980 0.285812
97.109330 3.954980 0.269038
97.109330 4.154980 0.258182
97.109330 4.354980 0.250214
97.109330 4.554980 0.246505
97.109330 4.754980 0.242222
97.109330 4.954980 0.239635
97.109330 5.154980 0.238120
97.309330 1.354980 0.851028
97.309330 2.154980 0.837703
97.309330 3.154980 0.344287
97.309330 3.354980 0.309949
97.309330 3.554980 0.287018
97.309330 3.754980 0.271516
97.309330 3.954980 0.261889
97.309330 4.154980 0.254217
97.309330 4.354980 0.247921
97.309330 4.554980 0.244399
97.309330 4.754980 0.241383
97.309330 4.954980 0.239532
97.309330 5.154980 0.238320
97.509330 0.954980 0.861028
97.509330 1.154980 0.857703
97.509330 1.354980 0.854433
97.509330 2.954980 0.345702
97.509330 3.154980 0.311238
97.509330 3.354980 0.288261
97.509330 3.554980 0.272768
97.509330 3.754980 0.263003
97.509330 3.954980 0.256173
97.509330 4.154980 0.251063
97.509330 4.354980 0.248054
97.509330 4.554980 0.244990
97.509330 4.754980 0.241316
97.509330 4.954980 0.239834
97.509330 5.154980 0.231383
97.709330 0.754980 0.868254
97.709330 0.954980 0.864969
97.709330 1.154980 0.861587
97.709330 2.354980 0.477409
97.709330 2.554980 0.398394
97.709330 2.754980 0.347332
97.709330 2.954980 0.312593
97.709330 3.154980 0.289632
97.709330 3.354980 0.273991
97.709330 3.554980 0.264410
97.709330 3.754980 0.257127
97.709330 3.954980 0.252027
97.709330 4.154980 0.248643
97.709330 4.354980 0.245592
97.709330 4.554980 0.243167
97.709330 4.754980 0.241451
97.709330 4.954980 0.232653
97.909330 0.954980 0.868806
97.909330 2.354980 0.400277
97.909330 2.554980 0.348768
97.909330 2.754980 0.313892
97.909330 2.954980 0.290889
97.909330 3.154980 0.275400
97.909330 3.354980 0.265975
97.909330 3.554980 0.258120
97.909330 3.754980 0.252768
97.909330 3.954980 0.249328
97.909330 4.154980 0.246772
97.909330 4.354980 0.244389
97.909330 4.554980 0.242930
97.909330 4.754980 0.234025
98.109330 2.354980 0.341920
98.109330 2.554980 0.315214
98.109330 2.754980 0.292218
98.109330 2.954980 0.277175
98.109330 3.154980 0.267127
98.109330 3.354980 0.259236
98.109330 3.554980 0.253991
98.109330 3.754980 0.250639
98.109330 3.954980 0.248189
98.109330 4.154980 0.245812
98.109330 4.354980 0.244190
98.309330 2.154980 0.317606
98.309330 2.354980 0.304342
98.309330 2.554980 0.290889
98.309330 2.754980 0.278599
98.309330 2.954980 0.268120
98.309330 3.154980 0.260437
