longitude latitude PGA(g)	
99.309330 0.954980 0.180816
99.309330 1.154980 0.170052
99.309330 1.354980 0.163874
99.309330 1.554980 0.159912
99.309330 1.754980 0.153658
99.309330 1.954980 0.148110
99.309330 2.154980 0.145485
99.309330 2.354980 0.148469
99.309330 2.554980 0.145102
99.309330 2.754980 0.139073
99.309330 2.954980 0.136310
99.309330 3.154980 0.134833
99.309330 3.354980 0.133814
99.509330 0.154980 0.214117
99.509330 0.354980 0.195650
99.509330 0.554980 0.188077
99.509330 0.754980 0.180927
99.509330 0.954980 0.171901
99.509330 1.154980 0.164449
99.509330 1.354980 0.158174
99.509330 1.554980 0.150694
99.509330 1.754980 0.146518
99.509330 1.954980 0.143492
99.509330 2.154980 0.142149
99.509330 2.354980 0.141654
99.509330 2.554980 0.139612
99.509330 2.754980 0.136934
99.509330 2.954980 0.135333
99.509330 3.154980 0.134474
99.709330 -2.245020 0.583059
99.709330 0.154980 0.187620
99.709330 0.354980 0.179360
99.709330 0.554980 0.175110
99.709330 0.754980 0.167207
99.709330 0.954980 0.164940
99.709330 1.154980 0.158712
99.709330 1.354980 0.150489
99.709330 1.554980 0.145665
99.709330 1.754980 0.143043
99.709330 1.954980 0.141142
99.709330 2.154980 0.139530
99.709330 2.354980 0.138457
99.709330 2.554980 0.137277
99.709330 2.754980 0.136117
99.709330 2.954980 0.135165
99.709330 3.154980 0.134470
99.909330 -0.245020 0.188888
99.909330 -0.045020 0.179184
99.909330 0.154980 0.172329
99.909330 0.354980 0.171405
99.909330 0.554980 0.164470
99.909330 0.754980 0.163361
99.909330 0.954980 0.157455
99.909330 1.154980 0.150816
99.909330 1.354980 0.146416
99.909330 1.554980 0.143511
99.909330 1.754980 0.141009
99.909330 1.954980 0.139529
99.909330 2.154980 0.138402
99.909330 2.354980 0.137535
99.909330 2.554980 0.136717
99.909330 2.754980 0.135963
99.909330 2.954980 0.135281
100.109330 -2.645020 0.572937
100.109330 -0.445020 0.182651
100.109330 -0.245020 0.173972
100.109330 -0.045020 0.169845
100.109330 0.154980 0.167518
100.109330 0.354980 0.164940
100.109330 0.554980 0.161511
100.109330 0.754980 0.155932
100.109330 0.954980 0.150149
100.109330 1.154980 0.146568
100.109330 1.354980 0.144214
100.109330 1.554980 0.141872
100.109330 1.754980 0.140127
100.109330 1.954980 0.138890
100.109330 2.154980 0.138080
100.109330 2.354980 0.137365
100.109330 2.554980 0.136728
100.309330 -3.045020 0.565236
100.309330 -0.645020 0.182039
100.309330 -0.445020 0.174879
100.309330 -0.245020 0.169615
100.309330 -0.045020 0.165871
100.309330 0.154980 0.160031
100.309330 0.354980 0.154913
100.309330 0.554980 0.152066
100.309330 0.754980 0.148822
100.309330 0.954980 0.146354
100.309330 1.154980 0.144292
100.309330 1.354980 0.142446
100.309330 1.554980 0.140957
100.309330 1.754980 0.139787
100.309330 1.954980 0.138874
100.309330 2.154980 0.138148
100.309330 2.354980 0.137539
100.309330 2.554980 0.136960
100.309330 5.354980 0.044801
100.309330 6.154980 0.022384
100.309330 6.354980 0.019301
100.309330 6.554980 0.016352
100.509330 -1.245020 0.200494
100.509330 -1.045020 0.186225
100.509330 -0.845020 0.176763
100.509330 -0.645020 0.174161
100.509330 -0.445020 0.168792
100.509330 -0.245020 0.162406
100.509330 -0.045020 0.156774
100.509330 0.154980 0.152337
100.509330 0.354980 0.149342
100.509330 0.554980 0.147646
100.509330 0.754980 0.145778
100.509330 0.954980 0.144025
100.509330 1.154980 0.142731
100.509330 1.354980 0.141598
100.509330 1.554980 0.140604
100.509330 1.754980 0.139775
100.509330 1.954980 0.139031
100.509330 2.154980 0.138399
100.509330 4.954980 0.064256
100.509330 5.154980 0.051666
100.509330 5.354980 0.041382
100.509330 5.554980 0.033422
100.509330 5.754980 0.027630
100.509330 5.954980 0.023661
100.509330 6.154980 0.020974
100.509330 6.354980 0.017819
100.709330 -1.645020 0.222906
100.709330 -1.445020 0.199532
100.709330 -1.245020 0.185274
100.709330 -1.045020 0.177666
100.709330 -0.845020 0.170332
100.709330 -0.645020 0.164091
100.709330 -0.445020 0.158866
100.709330 -0.245020 0.154573
100.709330 -0.045020 0.151510
100.709330 0.154980 0.148944
100.709330 0.354980 0.147104
